filename,total_stake_weight,stake_33_percent,min_stake_for_33pct_09linear_weight,min_stake_for_66pct_09linear_weight,min_stake_for_33pct_08linear_weight,min_stake_for_66pct_08linear_weight,min_stake_for_33pct_07linear_weight,min_stake_for_66pct_07linear_weight,min_stake_for_33pct_06linear_weight,min_stake_for_66pct_06linear_weight,min_stake_for_33pct_05linear_weight,min_stake_for_66pct_05linear_weight
sui,0.9999999999999978,0.3299999999999993,0.38328504960056164,0.7140725133877617,0.38328504960056164,0.7414625581599501,0.43051531911157903,0.7594592221929586,0.48327627074005763,0.7462909314370987,0.44772188569923593,0.7476077605126846
ethernodes,0.9999999999999354,0.3299999999999787,0.36708626434653774,0.7197334320621941,0.41003332099222434,0.7776749352091757,0.4672343576453154,0.8119215105516375,0.52665679378008,0.8348759718622583,0.5908922621251366,0.8507960014809132
solana,0.9999999999999954,0.3299999999999985,0.40016472509450474,0.7356728568084547,0.4487639224425563,0.7844473524412511,0.5004082256357071,0.8391249359806394,0.5420621164626586,0.8706889760487843,0.5425875495744218,0.8900611542953347
aptos,0.9999999999999981,0.3299999999999994,0.4020983367701597,0.7223310565513704,0.4020983367701597,0.7589893875082006,0.4534238817748294,0.779221440643907,0.4956164929716859,0.7858173421361685,0.4984165420321141,0.8046552247025891
ethereum,0.9999999999999878,0.32999999999999596,0.4362465198252387,0.737091020678821,0.4362465198252387,0.8247970094011731,0.4880739349019201,0.9120434328161636,0.5480956330861153,0.9353432616291879,0.6591843399190148,0.9448761187115784
avalanche,0.9999999999999974,0.3299999999999992,0.4095871915209699,0.7281310990876374,0.4095871915209699,0.7765445183837266,0.4541707432796315,0.8428253082091791,0.532600753076142,0.8799907036705292,0.5634182902927704,0.8895999144544386
