latitude,longitude,stake_weight,uuid,GDI,country
18.0103,-66.624,3,229e14bb-da40-4870-8065-12295dad1caf,3249080.6627464304,United States
18.7904,98.9847,1,3d643989-f768-4abd-bc27-1e5c6244effb,4064531.7730598864,Thailand
19.0728,72.8826,22,02c058c1-c82b-4555-a6f2-1b3f01474c7d,3548079.288489481,India
19.1809,-96.1429,1,a5cd9ce1-5d4a-4fac-9724-6247abc7b0c1,3451846.9785365206,Mexico
19.4285,-99.1277,4,a3c375f4-0e94-41c1-b40d-9d69c5c2343f,3511324.163921835,Mexico
19.6049,-99.0606,1,1f91c313-4bbe-4d04-9098-d8fdf2c2167b,3500374.1149664996,Mexico
20.5618,-100.2452,4,6133e82a-5f8d-41b1-80d1-c2f38162c8c5,3462394.548671886,Mexico
20.7646,-156.4458,1,f8cd0415-28e6-4710-97e6-e884ebdc10a5,4445914.596972039,United States
20.9754,-89.617,2,307a73e8-e27e-4ee8-b32f-61744d06ec3c,3236233.848223175,Mexico
21.0245,105.8412,2,9b5c3de2-c449-4d50-8324-9a8119ad3fa3,4110679.3475527195,Vietnam
21.1861,106.0763,1,3202f4ac-8b11-4737-afb6-6a8ecd5e3d1c,4110398.2112035765,Vietnam
21.2887,-157.8006,2,99bd5e7d-6cb7-4e4c-b7b7-28ac490f26fd,4446927.973402299,United States
21.3274,-158.0103,2,417a9910-a8b0-41f2-807f-df77a91b748b,4450544.729068961,United States
22.0605,88.1098,1,2b6a5144-4f17-49ca-82b8-e4f024dcaac0,3745103.524163808,India
22.2783,114.1747,60,ea123e87-d65c-44a1-9472-0e45fe77ce48,4196676.059169695,China
22.3917,113.9716,11,c5b7a8bc-7566-49d1-8984-7c9c76d2745c,4198404.6156215295,China
22.6163,120.3133,3,d6050ac6-0dc1-40f6-bb17-8a4760bf5426,4268859.913325838,Taiwan
22.9908,120.2133,3,2d8f6484-42fb-49a8-9d8c-11990a8f56a0,4252315.979418569,Taiwan
23.1167,113.25,3,18274d86-539a-40ea-ba67-e8443bd77147,4176078.9337584004,China
23.5841,58.4078,1,c78109ee-a02b-4b77-89c4-c21e97d126ab,3063295.462970737,Oman
23.9567,120.5761,2,3d10c5e3-a449-4c0c-b3fc-4c9944f4b2e5,4212990.001439112,Taiwan
24.1469,120.6839,4,5070e74d-f3b3-4b90-a647-eca88fd7fced,4197666.931191893,Taiwan
24.4259,54.605,1,3d09400d-b47d-4807-897c-459427ac4f93,2930373.048854506,United Arab Emirates
24.9937,121.297,16,7e1c93c8-7b4c-44e7-8ec8-282d9f53f494,4158460.6503965845,Taiwan
25.0389,102.7183,3,f7518943-9d76-41eb-9d8f-8283469df424,3883542.0890456387,China
25.0772,55.3093,3,0d441f66-c47c-4e81-97a1-299767bc9c43,2943111.3290783586,United Arab Emirates
25.1164,56.3414,1,cce1a0b4-da1d-4f40-b224-f9bcd332fe48,2965793.4290480064,United Arab Emirates
25.2604,55.2989,2,a9cc8f77-3ce9-49d2-a8f1-d773b7cf2444,2935767.7058663294,United Arab Emirates
25.6715,-80.4445,1,21f305e6-557b-470f-b7be-7e563aac42a3,2897829.3021629765,United States
25.6751,-100.3185,4,dd9ae447-26c2-482b-90ca-13d35b3f993c,3091405.9361727685,Mexico
25.7743,-80.1937,14,2a4ab74d-82cd-489e-be55-88680ee21832,2891462.6885241847,United States
25.9098,-80.3889,3,892ee9e4-e0da-4d9c-bbfa-10c5f048b7f2,2886128.9119280055,United States
25.9221,-97.4612,1,671f2b71-a896-4d6e-a4f1-da7d9df92819,3099228.3783011227,United States
26.1216,-80.1288,5,7d192e6a-5daf-43f9-b140-051b4563af24,2874699.7487431457,United States
26.251,-81.711,1,1354db2b-76c3-4f8f-af85-885fe8eeb391,2879379.871755989,United States
26.2729,-80.2603,1,8a4b2ac9-b1c1-45dc-bfd8-c5d466c9d709,2868328.934697313,United States
26.5253,-80.0664,1,93c8aec0-92fe-43b7-9d7c-df42ed553f33,2855632.3025542316,United States
26.5629,-81.9495,1,e94fd4ab-83bb-4ccd-9822-88b67e084bd7,2866688.4228906026,United States
26.7165,-80.0679,1,c0d440ba-f93a-4ff1-9220-08dccc1ce049,2838959.443229864,United States
26.9339,-80.1201,1,85175610-b3bf-46c7-860e-5f3745fc2bb4,2837254.7032217225,United States
27.3298,-82.4576,2,989c1086-c66c-49d6-8577-d86331d22575,2827623.972828379,United States
27.8685,-82.6161,2,17e1a17e-dc7e-43b6-a378-03d94b5c2f7e,2804674.15485556,United States
27.9951,-82.4046,5,17dd55cd-ad1d-4618-bbfa-b9043e5b0e8b,2797120.626429413,United States
28.0997,-15.4134,2,ba6120ff-45a3-4c61-87d6-1759f12a81a7,2352461.566489327,Spain
28.1331,-80.7112,3,86df7fd6-613f-4a52-809a-803106e9d482,2786890.46017179,United States
28.4682,-16.2546,1,5888cf2e-4d2f-4871-89a0-abe477663b9f,2336411.480421199,Spain
28.5383,-81.3792,5,e1025a52-3e53-4d58-a2c8-68c29fdd09e0,2765365.9543906567,United States
28.6302,77.3918,1,af935914-bc32-45c7-9db0-9aab4d4f7573,3169902.833810847,India
28.8053,-97.0036,1,5dca97a0-e9dd-4a6a-955e-d46a79dc1ce3,2930956.91692548,United States
28.8654,-82.0406,1,0da0350b-6708-40c5-bac0-851dd1fcc13c,2756028.750883181,United States
28.9005,-81.2637,1,a33caf05-a3ec-4cdf-9cab-98a35a9f31e3,2749038.6995774577,United States
29.3697,47.9783,1,9ff901ad-2d05-4a5a-b34b-9d0a7c5aacac,2571211.212778396,Kuwait
29.451,-98.6169,2,0bbdb51c-d95c-4d72-8ee6-fd6924a65786,2846456.8232660564,United States
29.548,-98.2911,1,1fd24515-072f-418c-9489-1c5cb2522e03,2834292.555318603,United States
29.5565,-81.219,1,b2da13fe-7334-436d-b63a-47d2eb8b7378,2721133.0359700974,United States
29.5603,106.5577,1,125b1329-cb58-4dd2-bb16-834c954951ea,3784400.2803554423,China
29.6516,-82.3248,1,44e6e9bc-3e37-468e-bc81-266d288970dc,2725040.372224558,United States
29.6794,-95.9772,1,16a822cb-eb4a-42ba-aa8d-e113cf35abe8,2870050.6979079386,United States
29.6889,-95.4341,15,d4cd0247-de0a-4245-8ec3-3565d1e3879f,2857559.8293971736,United States
29.7229,-98.0742,1,eae1e8c0-944b-45ed-a952-f2937ce94154,2821821.695798547,United States
29.8782,121.5494,8,020c90b4-14a8-4f0e-a308-5b2da30309fe,4026465.543642061,China
29.8947,-81.3145,1,29d0a362-5c5a-44ff-b15e-e220688cfc99,2707748.9353750143,United States
29.9746,-90.0852,1,d4b9b844-f2e3-4038-ae64-4ce4c21b840b,2791491.3661384257,United States
