latitude,longitude,stake_weight,uuid,GDI
-6.2,107.0,2.8805500557298257e-05,16Uiu2HAm9RNbjedx3o9wvs3vBN3TBwxs9toKpai2HFFUnCZXFii5,0.001875519921236755
1.1,104.0,1.3667916080758868e-05,16Uiu2HAmK2yRxiwQcqd2LhnB97yh5ZY2a84rdMwqQbrUDFp6HMbv,0.0017041013133837965
1.3,103.7,0.0008897372468055287,16Uiu2HAm84oTUgkxnCyZCbqC9J6Y7cvPqz3h4mWrWS2ydZ8b7QCZ,0.0016983704663377883
1.3,103.9,0.022836736301514816,16Uiu2HAmKbyFENG3NeNxwpGG4jnyavNjvB3bY15nmvXkKqthGZgk,0.0017000982266656656
3.1,101.7,1.4696683957805232e-05,16Uiu2HAmRvqRpPuuXzJjXkqL51UY9bXN1DoaNnTTmSsDG7WLN2Gi,0.0016311710169820788
3.3,101.6,1.4696683957805232e-05,16Uiu2HAkyhBN77tCjbMLHYUCkFcw1QSJKXUtEtJTMwCUTYTwSSQS,0.001627289897281399
3.6,98.7,1.4696683957805232e-05,16Uiu2HAm4LuS7X43gN43jtbb54ySEdtnfyTrawKZ69AK1p6YnCP4,0.0016163397620525023
4.6,-74.1,7.348341978902616e-05,16Uiu2HAmQr9ZGPyBsQamK2ZiEGhci9ur6Fmbx97RpbPqkaabCD6q,0.001966504248072719
5.4,100.3,1.4696683957805232e-05,16Uiu2HAmTY1B3tRaapHAVmNP6EXYi5ffAnSZutxkGLy6zLQPDBxG,0.0015850374532114665
7.9,98.4,5.878673583122093e-05,16Uiu2HAmEqJrH7CtusjZ3K9G7SB3JtTSr5BSdktiPkaQUEDmNCMt,0.0015332296290664306
9.9,-84.1,1.4696683957805232e-05,16Uiu2HAmLUffVLCitpFaF8MQ5ze5ZpRCVicVG1SJxePdo6kWTGX1,0.001814992332795504
10.8,106.6,4.40900518734157e-05,16Uiu2HAmPqCtaLYYfeqS49Mgu9VmmrcxGwLwAneKjtsQcEVSQLXr,0.0015931018889372656
10.9,106.8,1.4696683957805232e-05,16Uiu2HAkyxbsRcuhb9SBgHEK9nPba7fgEdCHg3HPPuRYhJmX1RUe,0.0015934143692208174
11.6,104.9,5.878673583122093e-05,16Uiu2HAm2NPkr3Z2wmhj7scBcun9cphE4bY7X6pDTTnir516xrQH,0.0015497106829359462
13.0,77.6,1.4696683957805232e-05,16Uiu2HAkxihwgHAH9U1hsQ5WrXNzSg3V7FsnMAUERz9m9h47DjZZ,0.0012604152973420394
13.1,109.3,1.4696683957805232e-05,16Uiu2HAm29JvGzanjg7zmSpiaXjwA9SEZmscQtJRPAxYdrLNBbAY,0.0015922105539964762
13.2,100.9,5.878673583122093e-05,16Uiu2HAmQSTACe2RSdYN7Pfq7SEiyCK9aj21ufdvkKqo8ofPxFdz,0.0014736124334504004
13.4,101.0,5.878673583122093e-05,16Uiu2HAm6XjEtx9gbSS9PEGjkWiodexBUn1jd94e3S524BqT7C8v,0.0014676670362987797
13.8,100.5,0.00042311753114521265,16Uiu2HAkytRnbCa4eGSrTGd1hWiDKjN29jUwqCAGBUsAhXEAnQag,0.001442235626732886
14.5,-90.6,4.40900518734157e-05,16Uiu2HAmUp67Ka7JeNuXzWd91Ze947VJCDfdeqvznDcfgGwdHiau,0.0017484323396793205
16.1,108.2,2.9393367915610465e-05,16Uiu2HAmSG99gMhqr5k93iqiySsUgESp48EL9ZQWVpJQDBRSY1TN,0.0015314361611458568
17.2,104.1,1.4696683957805232e-05,16Uiu2HAmUSeeMFC12NpDtJjRWrgbsdCRcvAW7o9wGMtejLtAfxCq,0.0014373665997171976
18.1,-65.8,1.2933081882868605e-05,16Uiu2HAmBfGK4NzN4BdvqsPX82TjFSCfKidqsyjEJCjXEXpA7ot7,0.0015634821044986666
18.5,-66.7,1.4696683957805232e-05,16Uiu2HAmEVKWbta1xcVfcAiHhrnEG4XWhbXABTTWrhfxujXutEwy,0.001548042924135462
18.5,-66.1,1.3667916080758868e-05,16Uiu2HAm9RJ75JWLXQiFheG7VdBpHbXtMroHfyDd2t5qhrAZmCAo,0.001552771911222352
18.8,99.0,4.40900518734157e-05,16Uiu2HAkzZnxpZWgYu9MeTsEGft6is4xQZ4Jm5VEy9b6fifLmz2J,0.001363460261139832
19.0,-98.2,1.4696683957805232e-05,16Uiu2HAmBiC4c711cPAoda4K1tZMYCkwuuaBZjuEgZXgX65gCGbH,0.0017252836528727845
19.0,73.0,0.0001308004872244666,16Uiu2HAm62finbq2z4MZ813TXdw3eoSzHFac4BeyLpw6R4E11AcY,0.0011399193048015998
19.2,-96.1,2.9393367915610465e-05,16Uiu2HAmL3fP6z9h6g8nGRSbEgrBvKcCnhZ9ith37Qr1VhwH24Q4,0.0016869845256780591
19.4,-99.1,0.00011757347166244186,16Uiu2HAm8dGTByLgKN57r63HyGxTsDVrYHcMWJtuYxufHRZpUmKY,0.0017052509755573421
19.5,-96.9,1.4696683957805232e-05,16Uiu2HAmJRFKevwupMMX2BDLbzmvD2su5uAWiAkFmZK9e47aHxmi,0.001691943764773199
20.6,-103.3,4.40900518734157e-05,16Uiu2HAm7p231pGBooNN8xSWQF5VarAeP1tG7j8NysHctrXsGGWn,0.0016397223577220238
20.6,-100.4,5.717010059586236e-05,16Uiu2HAkxrYYThLrpgiYrZyjpNr5CzvqBN43qhNyGdKzG19qUgbd,0.001657535556915121
20.8,-156.3,1.3520949241180814e-05,16Uiu2HAmPZK4AT6Pwas5Lvkqx4SjvmVvhCRSL6cTwvNqZ6iu7GeD,0.0023030630707350634
20.9,-156.5,1.4255783439071075e-05,16Uiu2HAmCvCTaLqk3owMNvUg1qXLusaXTuGQ7BBR8vHosTF2SVvm,0.0023035257871567515
21.0,105.8,0.0002355878438436179,16Uiu2HAkwXpPesgP14qrDwoh3WPmBkDKAH2uC31jWqwUMo2L7WN5,0.0014046779997105901
21.2,-97.8,1.4696683957805232e-05,16Uiu2HAm41VGro58KmJq7fCdZX1fwnYHTaac3p3NNobw4UY8x2hf,0.0016449867170049584
21.3,-158.1,0.00018723575362243868,16Uiu2HAm1oDDsQZGW32TUS8WrPw2132y8nYwkPT6kbnpAyXBAr4s,0.0023103890913641974
21.3,-157.9,2.8217633198986046e-05,16Uiu2HAmNZeN6BDsjEPLMfJpsDajR3Er2yE4qw53YmFtQXcKnFP5,0.0023127773919800585
21.3,-157.7,1.4696683957805232e-05,16Uiu2HAmNQQ5CWf9CTXLWJN6suQ88Y81MGK1iakecx7BefXT3uYL,0.0023103291761226827
22.1,88.1,1.4696683957805232e-05,16Uiu2HAmMJvRmnwuxow5Cv3EagebiM7kKXJPseB4ZttLJitE95Nq,0.0011826057026519774
22.2,113.5,0.00010522825713788546,16Uiu2HAkvjMcXuGmsBjJAiN9M5oLb8x86Mgx3zFLxj5LBmMnKRhQ,0.0014888831175875214
22.3,114.2,0.011532487901689767,16Uiu2HAmLVaK6qb2X5rwbVF3UwiJBAh8oURCcTWA52PQn2F5XtGD,0.001489502480126935
22.6,120.3,7.348341978902616e-05,16Uiu2HAmRKMv66v161e71N1UWsR98sz4hdJndTXccVBSv53dAbXm,0.0015680880511721447
23.0,120.2,1.4696683957805232e-05,16Uiu2HAmU898AhaURmht2wW8C491y5ZvJkdMwHuTRw4NqhWNeeKW,0.00156140985756646
23.1,113.3,0.0002476391246890182,16Uiu2HAm1yDZBPCz9eFtHr3YotfhFEHPft6PhzFiaXi9Rzcbzr5h,0.0014633265452180498
24.1,120.7,0.00023602874436235203,16Uiu2HAm5PT59vqTr5bjMukeGXYhoiJcDjaf88kwmPzPMWLHeKEL,0.0015665258109836256
24.2,55.8,1.4696683957805232e-05,16Uiu2HAmD8JtV7HB3GpdigioNCKyww3LmbfaWKDWXZp3jnFZe7qX,0.0010319127857088258
24.3,120.7,9.920261671518532e-05,16Uiu2HAmMZtSZHL7eWcS6Rpo1sVvMAtZLVkgDDSwyg2MsezL6AEE,0.0015636821979179512
24.5,117.7,2.9393367915610465e-05,16Uiu2HAm7AHg5tguCTGzM47VVcAAySJWJi9c3VpunVgRGN8ckpoX,0.0014820103426055704
24.5,118.1,0.00011492806855003693,16Uiu2HAm6tkdEFELvEa5X23Zw2PaDS4V7Efmty5qu8YvDqD4FKye,0.0014854576652186492
