latitude,longitude,stake_weight,uuid,GDI
1.3667,103.75,0.04802036695636906,05de1fa7-869c-489b-9e18-cf20a12dd534,0.060306067295560435
12.9716,77.5946,0.004213853041875165,56b1876a-fca6-4404-bb1e-8bcfbc2938ff,0.045733051925715654
18.5236,73.8478,0.009217803529101922,6d859216-cd61-4d44-ae88-36a52547e37e,0.0420310166964034
19.4333,-99.1333,0.002282503731015714,58adb70b-379d-42b9-8c67-1099708f746a,0.0380050665267999
22.3,114.1667,0.008954437713984725,3d0e2f54-59a0-41c0-b16c-a37d18354ffc,0.04984835742161517
25.0333,121.5333,0.010183478184531648,642b225d-bcb3-4c01-b978-4d8984eddae0,0.053804928298328274
29.9667,-90.05,0.00754982003335967,35e0fef1-3a43-4eae-8abd-e69fce290fdb,0.030326459943351616
35.6729,139.8174,0.06074971468703362,3629519e-0f8f-4446-ae89-dee0d1399620,0.05934901358180512
37.3542,-121.9542,0.04723026951101747,89e915d0-2624-4322-a247-21daf8dc1a29,0.043335790323926635
37.5665,126.978,0.026248792906680713,74158804-2b1d-4d7e-8089-391119121c3a,0.052352027936783486
38.9694,-77.3864,0.036520059696251425,aba5ff44-0b5c-480b-a845-59fee7671cc4,0.025422243556681837
39.0997,-94.5783,0.00280923536125011,8ded0b9e-40c7-42ad-8ce6-23daff0c744d,0.029545211720371525
39.9611,-82.9989,0.0032481783864454395,02035cdf-acfe-4a2b-8ef7-522bdda5cd5c,0.025480737156175232
40.5456,-74.4608,0.01703098937757879,52096440-ab80-47fc-b9f3-92cc9574bf1d,0.024962057620023702
40.7269,-73.6497,0.03564217364586077,a3e99c5b-f087-4259-9589-1d93a1191762,0.02495022344705502
40.75,-111.8833,0.012641559125625495,1c7968f6-2b56-4396-a975-69e2d7ce7111,0.03384896187178374
40.8258,-96.6852,0.00992011236941445,5e4e23ea-f0bb-4a0a-9cbc-905f142be4a0,0.029550341323582995
41.85,-87.65,0.004038275831797032,8ba9cdaf-395c-4fe7-8d0b-da9c86fe87b2,0.027555716558397125
44.4167,26.1,0.009130014924062856,de2b4cca-86f9-40ef-a3f7-88951a0370be,0.015375633537175587
45.5081,-73.555,0.04196295320867351,d5442ebf-ad80-4dbb-9eab-1a5fb9bf8e66,0.024316278933732848
45.5236,-122.675,0.0028970239662891757,90d55fc0-5938-48cb-89fd-9930a2e89938,0.03793291303925485
47.369,8.538,0.027214467562110437,98638fd7-3d33-4934-9844-bf16229fcb51,0.007896163809628792
47.6097,-122.3331,0.003423755596523571,3e20a1ac-aeb3-4a12-8e52-532ce6366874,0.03727318617140801
48.1439,17.1097,0.008603283293828461,4b7c05db-f707-4bd4-9bfb-5150d7b83aa1,0.01194204315328772
48.2088,16.3726,0.00992011236941445,7d43948b-7efd-4fd4-b8cc-7ae40df403ae,0.009953771614904912
48.5734,7.7521,0.028355719427618296,294c1b81-5400-43bd-ad34-b52054410e33,0.007471973818985512
48.8742,2.347,0.008778860503906593,fa92b6ea-4460-4b7e-8654-3adc8f684c58,0.00818536165636636
49.45,11.0833,0.0030726011763673074,38f997a1-bf2d-403b-805c-782ac86a4a73,0.007295385210009104
49.6833,6.1167,0.030462645948555876,882f981b-4cde-4cf4-99cd-5284dac03c75,0.007330790309257606
50.1167,8.6833,0.10060574137476956,8df49b4a-86c2-401f-8267-2faba216d8b2,0.0071120848448567595
50.475,12.365,0.019928013343867967,5d4965ed-df09-4e2b-821c-a3ad4525b0d2,0.007271499012409716
50.69,3.1817,0.026599947326836976,0cdc24ef-df03-4fb5-844e-b2e7587f38aa,0.007662995711844412
51.2333,6.7833,0.013958388201211482,bddbca66-716d-4167-ae2a-3ccf54be330e,0.0071408982837785715
51.5171,-0.1062,0.10622421209726977,249f27ca-528b-466e-8d0d-766f5449e9bb,0.00840152878777584
52.23,21.0108,0.0032481783864454395,160e9444-530a-4cf9-8007-321e28032ca3,0.012124716103525801
52.3,4.7,0.06768501448511983,4e896db1-8eff-468d-a182-63b92d7548f9,0.007437269676381175
53.3478,-6.2597,0.03476428759547011,51ecdcb0-b9db-46f2-bfb4-006b400100cd,0.010166501829038934
54.6833,25.2833,0.0595206742164867,245f1d22-0806-49e8-a554-2bd8843bf8a0,0.013160261451975127
55.9333,23.3167,0.009217803529101922,b206c963-679d-462e-96c6-550830e5a59c,0.012858007170930033
56.9489,24.1064,0.02695110174699324,a192532f-27e9-46fe-945a-5bd92ab60809,0.013244042599946871
59.95,10.75,0.0033359669914845053,37b75e99-9d16-4b49-adc3-dd5cfd506ec9,0.009437734641118542
60.21,24.66,0.0076376086383987355,f401487b-6861-45e2-b913-49d4e3ce2219,0.012601685428046181
