latitude,longitude,stake_weight,uuid,GDI,country
-37.818898,144.948291,199845785784389,8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,1383404.5603336268,Australia
-33.428532,-70.630133,42464462507358,96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN,699436.0688278512,Chile
-26.238909,28.059764,270357946612007,uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3,684476.0779076493,South Africa
-23.547121047973636,-46.637184143066406,268245921302596,simpRo1FrQYGa1moicfgnPDp6KyE38d4gYrZzhjXYJb,514941.4095305569,Brazil
1.2899869680404663,103.85028076171876,8639035027948679,Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,596324.869601038,Singapore
20.604813,-100.406992,433625049763735,FyrwfMaomErzqrFUXMjCJ7mA4u81DsiDdrzC3MJD6d4j,361018.830960077,Mexico
22.285520553588867,114.1576919555664,2333878329354970,D3htsc6iRQJLqCNWcC2xcZgUuvcd1JT8zoYNqraNcTQz,501029.40488221165,China
25.766368,-80.210268,2246680910595803,HwN6eoEe9N3kwHi66hpQDBMFPk6ASQGthWKPX5MZmisp,310721.4487793528,United States
27.78852844238281,-82.67501068115234,506647736933144,DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA,301050.7797442605,United States
28.007360458374023,-82.51544952392578,41236634691202,1so1ctTM24PdU7RLZJzJKYYVYri3gjNeCd8nmHbpdXg,299864.70652615384,United States
28.805269241333008,-97.00360107421876,40092116338271,CJtJMo1bwttF5nq2noEk8YbbUikXWWAHtEYuqVbtNen2,301140.4168169721,United States
30.408615112304688,-91.0833740234375,812110539106814,juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,290865.2540874201,United States
32.72793,-117.15529,1000499519184,parafiUS6h6oLhCFwhjvEmQJKw8pF1iXsxMJdTq46dS,257881.28992552965,United States
32.736212,-96.784359,2692192367969748,GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,276105.5686321941,United States
33.74879455566406,-84.38754272460938,36480130628760,4J9HoqBamEDyEKGDZgeRjCpiGCirHzqP1CadWmznrghF,253504.46849552504,United States
34.05257034301758,-118.24390411376952,9510115167311683,EgxVyTgh2Msg781wt9EsqYx4fW8wSvfFAHGLaJQjghiL,247233.15494427877,United States
34.498624,-106.108278,4175352688006817,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,300886.4096837554,United States
35.040169,137.259429,194885760758361,5cQ27F39MuLu3ZHSyuTBxu9xaarnxezAAiLuyf1FCL2W,579055.2404299751,Japan
35.13726043701172,-80.93611907958984,583583344776913,BitokuDHQiAhpUKrwx1VssAAoW5Rst8zB6gpfoaxM3Kh,246356.19685973687,United States
35.675099,139.393288,18662251727461694,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,579314.6282104028,Japan
35.68949890136719,139.69232177734375,15842843469370753,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,579818.0727752328,Japan
37.33369827270508,-121.88929748535156,1286276786341582,HUcasdKeLaC1GMYVKpQrSuJSJUAaZxyVe8zY1NoAb7xg,264478.00757702615,United States
37.38228225708008,-5.975700855255127,76580725516811,Hhn4usDjnktbPURJHbi4YrPdKudBD5Qq35mTcaQ3Uu6,187942.31007154306,Spain
37.50503540039063,-122.47074127197266,35472191005899,87aa82cCUqVUWza4WvGk4wNTRJ1aZzugUvch74r7gHQd,265768.0474279618,United States
37.54827117919922,-121.9885711669922,26380412728995,TahoeMHorTATHYXCsKhG1jp5gVoSp6kKKibET7wEbcX,264131.4320684784,United States
37.56631088256836,126.97720336914062,373467992768049,8Zh5A5Hs6bJFAyWrLGMaF2VEUVbXFANtfuw7824Hd5XV,498526.439298305,South Korea
37.79125595092773,-122.40081024169922,454024071357255,sTepQGoReJq2tBKStL19DT6nnGHcGiAvFjyYaokLyuM,264744.0371467912,United States
38.637454986572266,-90.237548828125,113765088830196,7knvB4bbqHCKuNp3ef2hJWdwqoH6WAUi55NQt6LdRfkx,237432.76787306397,United States
38.95669174194336,-77.34210205078125,369826659524240,9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf,233357.43510405876,United States
39.72468185424805,-75.6060562133789,11304585142930409,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,231703.85881813048,United States
40.43489,-3.678245,2574108372796078,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,165454.99628427997,Spain
40.450508,-79.936309,1562305236866424,AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,230127.3202184701,United States
40.480304,-111.930635,6308354434047460,CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,297213.65499042184,United States
40.49927,-74.39904,1663305411448127,CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS,230413.22914411034,United States
40.60380172729492,-74.18236541748047,19464848919483635,BHG4L6p8fmz3nEKzq7Q4wRhW9q9YtzN1vEjMZCLX3ewm,230345.29419686372,United States
40.857906341552734,-74.42555236816406,52556392431494,scs2tFfBCobDRjkYfhQ59saMg91teNACbje18SraSwg,229651.2871982035,United States
40.88478469848633,-73.95064544677734,1505604343020162,RUSHpmG4o1ydgySKRexRws7WMmu8nH5BaQgEAmwo2hK,229996.80164143286,United States
40.98419952392578,-73.68990325927734,27073991089212,D1zqVW87NyyQAuGGNJVLa626QjQsEmkEmx8XynVMN98s,230108.75386679603,United States
41.01383972167969,28.94965934753418,35341145652123,DbnMbtAJJeGePLgg1Xy2Bq71amFtLbbVCMdxEywdcSev,203206.53498366335,Turkey
41.2763786315918,-111.98744201660156,7619241227671116,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,295393.7716637689,United States
41.32749938964844,19.81888961791992,309223650214448,BJvrWSfonXnS2Km8iA9KLY6D6vS3GcsaUwUNPFBumTca,151458.1051223644,Albania
41.875770568847656,-87.62060546875,8823320034946651,HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,227116.66350339286,United States
41.89425277709961,12.4842529296875,35962439447818,J2895yqMc1JqrWPQ2ryDPn7EbozZpAoCCPTy3BDUME9m,143687.49441545195,Italy
42.007879,-87.969749,766999552032855,HLv4d6uhQ7ViicNQ1ff6RHNNntNzmq1bATLne2kCW5VV,227388.5259625605,United States
42.355899810791016,-71.05269622802734,2759811852689566,cmshPgUzd5iDkyZxPfUvepRSLtNV47Ks5AGu4KvKqY6,231554.9426499704,United States
42.46123504638672,-83.22753143310547,376317993244898,9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr,222341.37300665493,United States
42.697509765625,23.32415008544922,37287106732716,Bonevk5i19xjhv6Bp77zZLD8JP7u2bEpMfD9P7yGCeyj,157261.26710729444,Bulgaria
42.879225,-87.914669,475207561000194,DViARWAWKkxAzp4UCgbw5B9pLSrBY3PaztFErcwgVUKX,226427.30912094816,United States
43.16928863525391,-77.68787384033203,9618540517727,87fX6AAJywaQfgMpD9Gkwxpt1e129kKZxBdRG1SQA43m,225986.31602309036,United States
43.18678,27.594402,275159315609664,4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n,172472.55032507348,Bulgaria
43.408777,-74.871618,3267522641405580,mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,226658.1909112915,United States
43.46144104003906,11.876959800720217,194647651875654,3XR3msrDf4fJj5kxgYAMoZDYMNvgdnXdKfbC7AN6422Q,135201.64801379413,Italy
43.526046,5.44467,1124346762151642,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,141022.70833584905,France
43.64877,-79.38171,530496812893963,AswkbUbQZz4guf3Ex45LFPgnSzFjsGumLCaHd142cmmx,225987.65420378745,Canada
43.854178,-120.526709,5310576225562817,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,239204.80185346474,United States
44.05817031860352,-121.3153076171875,39189770258167,6q4nsn4Jg5X26JzqB5xEz9BL33Aroc1YVsFCRKhm9qdd,265634.4139550995,United States
44.43230056762695,26.106069564819336,285047712359089,NWY18yrPHsTogTDq78HpB51D7gC5AGRsvJ5pPqSchkH,155209.7423603949,Romania
