latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
-43.5333,172.6333,0.0005553498704183636,5e7c5636-8e9b-4c95-96f7-d42f48680685,0.004018555256211601,New Zealand,0.0009016704089976872,0.0012479909475770108,0.0015943114861563348,0.0019406320247356585,0.002286952563314982
-43.3044,172.5836,0.00018511662347278786,68485f5d-ab93-4231-a68e-b90f5af9c418,0.004015522717605864,New Zealand,0.0005681572328860954,0.000951197842299403,0.0013342384517127108,0.0017172790611260185,0.002100319670539326
-42.8794,147.3294,0.00018511662347278786,d68b0c9f-b397-48df-81f6-a558920b0f15,0.003881848648727318,Australia,0.0005547898259982408,0.0009244630285236938,0.001294136231049147,0.0016638094335746,0.002033482636100053
-41.4388,147.1347,0.00018511662347278786,6724e6d6-0852-4cd9-badb-e65bd4037617,0.003826208475774671,Australia,0.0005492258087029761,0.0009133349939331644,0.001277444179163353,0.0016415533643935414,0.0020056625496237294
-41.2866,174.7756,0.0007404664938911515,ad653814-ddc7-456d-821c-4212bef521ef,0.00392102280702024,New Zealand,0.0010585221252040603,0.0013765777565169692,0.001694633387829878,0.002012689019142787,0.002330744650455696
-38.1994,145.4908,0.00018511662347278786,87681097-00d2-498e-96bc-60e5a80d7701,0.003966044758174378,Australia,0.0005632094369429467,0.0009413022504131057,0.001319395063883265,0.001697487877353424,0.002075580690823583
-37.814,144.9633,0.005923731951129212,bd6f6af3-dc41-40fc-8fdf-a4a2612534c2,0.004198705289502453,Australia,0.005751229284966536,0.005578726618803861,0.005406223952641184,0.005233721286478508,0.005061218620315833
-36.8485,174.7635,0.0031469825990373935,b4a19692-8687-4cf4-a66f-dcda97a2e9ec,0.003850531890212036,New Zealand,0.0032173375281548578,0.0032876924572723216,0.003358047386389786,0.0034284023155072506,0.0034987572446247145
-36.3805,145.3987,0.00018511662347278786,e3308565-def6-46bb-8cf0-e7d7b4a493ba,0.004097802062341171,Australia,0.000576385167359626,0.0009676537112464642,0.0013589222551333028,0.001750190799020141,0.0021414593429069794
-34.9287,138.5986,0.0009255831173639393,104bc79a-7b3c-44ef-970e-5a40b2ee409b,0.0036514054168214475,Australia,0.00119816534730969,0.0014707475772554408,0.0017433298072011918,0.0020159120371469426,0.0022884942670926933
-34.9215,-57.9545,0.0011106997408367272,84439d55-63eb-4561-a3ae-8c3fbb715765,0.0030317943034142932,Argentina,0.0013028091970944838,0.0014949186533522404,0.001687028109609997,0.0018791375658677536,0.00207124702212551
-34.9033,-56.1882,0.00259163272861903,546c6b1a-caf7-417f-be97-e7bf8bb8915d,0.0030252584932412706,Uruguay,0.002634995305081254,0.002678357881543478,0.0027217204580057023,0.0027650830344679266,0.0028084456109301503
-34.6131,-58.3772,0.00259163272861903,59aa025b-9ee1-44bb-8d94-e2bc57bde76d,0.0030234058726922755,Argentina,0.0026348100430263546,0.002677987357433679,0.0027211646718410037,0.0027643419862483283,0.002807519300655653
-34.4775,150.4204,0.00018511662347278786,0a1e4a48-c17a-496b-b33d-03e8187252e1,0.003874074790222766,Australia,0.0005540124401477856,0.0009229082568227834,0.0012918040734977816,0.0016606998901727793,0.002029595706847777
-33.9258,18.4232,0.00037023324694557573,c6554062-6617-48dd-b952-b1e4d8f2899b,0.002708865571928148,South Africa,0.0006040964794438329,0.0008379597119420901,0.0010718229444403476,0.0013056861769386047,0.0015395494094368619
-33.9092,151.194,0.010551647537948908,4df7a4dc-4806-4e27-a0b9-258aafba8145,0.003946716645308198,Australia,0.009891154448684839,0.009230661359420765,0.008570168270156695,0.007909675180892625,0.0072491820916285536
-33.7338,18.9752,0.00037023324694557573,b7665af9-bee2-47ef-958e-1b5c8dbc86ca,0.002718459531657254,South Africa,0.0006050558754167435,0.0008398785038879113,0.0010747011323590794,0.0013095237608302473,0.001544346389301415
-33.4569,-70.6483,0.0009255831173639393,983445e3-278a-41cc-8796-1b595a9b414f,0.0029797890788332403,Chile,0.0011310037135108693,0.0013364243096577995,0.0015418449058047297,0.0017472655019516597,0.00195268609809859
-32.9468,-60.6393,0.00018511662347278786,21e800a6-3e79-4885-ba00-ad3941853817,0.002967735603469643,Argentina,0.00046337852147247335,0.0007416404194721588,0.0010199023174718444,0.00129816421547153,0.0015764261134712156
-31.9522,115.8614,0.0020362828582006663,247ed300-253e-4678-b896-a8922a5c9174,0.0031569467078649913,Australia,0.002148349243167099,0.0022604156281335313,0.002372482013099964,0.0024845483980663963,0.002596614783032829
-31.77,-52.341,0.00018511662347278786,dc1cb6c1-0d73-481a-b2c5-e55cecc2e085,0.0028141047819303052,Brazil,0.00044801543931853957,0.0007109142551642913,0.0009738130710100431,0.001236711886855795,0.0014996107027015464
-27.5535,152.9289,0.003517215845982969,6c244975-46e9-4de2-a417-2c8e55d01243,0.0038498266329853714,Australia,0.0035504769246832092,0.0035837380033834497,0.0036169990820836898,0.0036502601607839302,0.0036835212394841703
-26.8185,153.0654,0.00018511662347278786,37fd1840-675a-4bc7-aa33-fb4961ec667f,0.0038365558948986107,Australia,0.00055026055061537,0.0009154044777579523,0.0012805484049005348,0.0016456923320431172,0.002010836259185699
-26.2023,28.0436,0.0016660496112550908,5f2e2368-97c1-479d-9111-b6a44dd0b393,0.0024118465130700357,South Africa,0.0017406293014365852,0.0018152089916180798,0.0018897886817995744,0.0019643683719810685,0.0020389480621625634
-25.2079,-57.532,0.00018511662347278786,ecd93f1a-0bfb-4c0e-8117-65cb2709c4d3,0.002701780362133886,Paraguay,0.0004367829973388976,0.0006884493712050073,0.0009401157450711174,0.0011917821189372272,0.0014434484928033367
-24.7859,-65.4117,0.00018511662347278786,45ec3c41-42eb-41e0-8369-3e9c36f8336f,0.00272090388556817,Argentina,0.000438695349682326,0.0006922740758918642,0.0009458528021014025,0.0011994315283109407,0.0014530102545204787
-23.5475,-46.6361,0.0022213994816734544,d8125e48-c348-41ec-a608-ed2c95a63044,0.0025585495501332,Brazil,0.002255114488519429,0.0022888294953654032,0.002322544502211378,0.0023562595090573526,0.0023899745159033274
-22.9064,-43.1822,0.0005553498704183636,242021f5-1384-4374-be1b-e94cacafbbcf,0.002572620258062408,Brazil,0.0007570769091827679,0.0009588039479471724,0.0011605309867115771,0.0013622580254759814,0.001563985064240386
-22.9056,-47.0608,0.00018511662347278786,a1719964-8b26-4861-9cc7-a3aedf7e7651,0.002536408247885131,Brazil,0.0004202457859140221,0.0006553749483552563,0.0008905041107964909,0.0011256332732377252,0.0013607624356789592
-21.5514,-45.4303,0.00018511662347278786,46fb2be2-2cf4-4881-8194-c7e159572bfd,0.002491334264446303,Brazil,0.0004157383875701393,0.0006463601516674908,0.0008769819157648425,0.001107603679862194,0.0013382254439595455
