latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
-33.9258,18.4232,0.019631030837746557,NodeID-DAtCoXfLT6Y83dgJ7FmQg8eR53hz37J79,0.02440067713713061,South Africa,0.020107995467684964,0.020584960097623367,0.021061924727561774,0.02153888935750018,0.022015853987438584
-33.8678,151.2073,0.03847304697066501,NodeID-5mmVqScHrzTiSa2WVjo99g2yzL83EBS6W,0.02979882459124305,Australia,0.03760562473272282,0.03673820249478062,0.035870780256838423,0.03500335801889623,0.03413593578095403
-33.777,150.8973,1.6609024104112288e-05,NodeID-AUeAjRR7q12Pps6Qckyy1PUzFwP34pFij,0.029795122103843184,Australia,0.0029944603320780187,0.005972311640051926,0.008950162948025836,0.011928014255999741,0.014905865563973648
-23.5475,-46.6361,0.006232755282950438,NodeID-3yiw3g5Rer7repmzoJaATJpkf7GnWD5j9,0.023393198387155586,Brazil,0.007948799593370953,0.009664843903791468,0.011380888214211984,0.013096932524632498,0.014812976835053011
-6.2146,106.8451,0.030817537216628433,NodeID-4CL8XnuYqfVVLxRre5C5A1dpRv3cZN2Zs,0.024232268489700635,Indonesia,0.03015901034393565,0.029500483471242876,0.028841956598550093,0.028183429725857315,0.027524902853164536
1.1494,104.0249,0.0002063936982982633,NodeID-Mss1z2VZYsNSa4LyqD99vXeNd8h3hUMDA,0.022509947903038674,Indonesia,0.002436749118772304,0.004667104539246344,0.006897459959720388,0.009127815380194429,0.011358170800668468
1.2897,103.8501,0.04458355175866162,NodeID-7843EeyboY1mZSmdzjqdJodxHycNn7Kv2,0.022466140645486986,Singapore,0.04237181064734416,0.04016006953602669,0.03794832842470923,0.035736587313391764,0.0335248462020743
10.823,106.6296,6.0813096255651435e-05,NodeID-Gey3HmUZyAXuvawThT1McvEjrofAwrGi6,0.021087007453202574,Vietnam,0.0021634325319503434,0.004266051967645035,0.006368671403339729,0.008471290839034421,0.010573910274729113
19.0728,72.8826,0.014399120081906283,NodeID-6ghBh6yof5ouMCya2n9fHzhpWouiZFVVj,0.014801607573400344,India,0.014439368831055689,0.014479617580205096,0.014519866329354501,0.014560115078503907,0.014600363827653314
22.2783,114.1747,0.011265357353374094,NodeID-QKGoUvqcgormCoMj6yPw9isY7DX9H4mdd,0.02037121616675646,China,0.012175943234712331,0.013086529116050566,0.013997114997388805,0.014907700878727042,0.015818286760065275
25.0772,55.3093,3.766411491352751e-05,NodeID-M9Q4Fc2StCtFCofjppsy6DC7JDGmtRfUA,0.015128322176762597,United Arab Emirates,0.0015467299210984342,0.003055795727283341,0.0045648615334682495,0.006073927339653156,0.007582993145838063
26.0686,50.5039,0.034241708018476036,NodeID-EmRTfxEKTLpzTyWJmYTXVxyGr79bsv4Bp,0.014480068369715276,Bahrain,0.03226554405359996,0.030289380088723884,0.02831321612384781,0.02633705215897173,0.024360888194095657
26.6237,-80.1253,0.0006558562240866494,NodeID-FHGwnPLGdU3FBzbwnhayx1sDjxiiyb9sD,0.011558189505416152,United States,0.0017460895522195994,0.002836322880352549,0.003926556208485501,0.00501678953661845,0.006107022864751401
