latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
-34.6131,-58.3772,0.003804395919132207,0xbea2323e776d126d319e7f15bf41f624b8cfd19c0484e3b60e6d8ecf1810dd16,0.049415507783753025,Argentina,0.008365507105594288,0.012926618292056368,0.017487729478518454,0.022048840664980536,0.026609951851442618
-33.9258,18.4232,0.00381205457366362,0x568fdb6acf26aae2a84419108ff13baa3ebf133844ef18e23a9f47b5af16b698,0.03276420912819274,South Africa,0.006707270029116531,0.009602485484569441,0.012497700940022357,0.015392916395475267,0.018288131850928178
-33.8678,151.2073,0.0028000490604282724,0xaf0843693e9446fac15e6e019ed3b5c7527e23fa66006cb4625fb844dddcb1a0,0.06992509351373125,Australia,0.009512553505758569,0.016225057951088865,0.02293756239641917,0.029650066841749464,0.03636257128707976
-26.1222,28.2056,0.007008768423898303,0x6fd3ee60a084952162d62ead1a09f4ccd611f17608789ae45eba4f54967a295e,0.029177359550496385,South Africa,0.00922562753655811,0.011442486649217917,0.013659345761877727,0.015876204874537538,0.018093063987197344
-23.5475,-46.6361,0.002791505573129446,0x52b48fb6e6883d4cdf244cde8d7e972ea2d8ece9b5e484ed5085aacef0e306a1,0.042985052649279765,Brazil,0.0068108602807444765,0.010830214988359508,0.014849569695974544,0.018868924403589574,0.022888279111204606
1.2897,103.8501,0.10298413894807529,0xadbfddd3d10cad1eed59d2c0793df0bfd1d16255309c38b34b8351daaddecccc,0.025155604405762744,Singapore,0.09520128549384403,0.08741843203961279,0.07963557858538152,0.07185272513115026,0.06406987167691902
18.9888,73.1101,0.007497272362481054,0x6214524acdb638d3ace8a705c7e9bf6f73992d1e030003ac18155e46f0b81b91,0.01685767757015792,India,0.00843331288324874,0.009369353404016427,0.010305393924784113,0.0112414344455518,0.012177474966319487
21.0245,105.8412,0.012936550769403804,0xa7375edf245124aa2531c74dcd0cbfb4c7aea02dbea32c7fbf72784533730874,0.018668763117322032,Vietnam,0.013509772004195626,0.01408299323898745,0.014656214473779273,0.015229435708571095,0.015802656943362917
22.2783,114.1747,0.05132554500466973,0x189093e65faaea1d0c1c367b7c78b4d2ea569fc3d1e7d20b226eec0361b1a116,0.019270359031709473,China,0.04812002640737371,0.044914507810077685,0.041708989212781655,0.038503470615485626,0.0352979520181896
25.7743,-80.1937,0.0013822620483742482,0xd2dc57e95669c9bf102cb5693fe8b2a8b10d330213d7ddd9fb417f86f183dc1d,0.02468380069158115,United States,0.0037124159126949376,0.0060425697770156266,0.00837272364133632,0.010702877505657009,0.013033031369977698
30.4433,-91.1875,0.005082926432690487,0x66fcc9a1275170c140988e8fdc5104fef09568bdd07930f44a290bf55a5550ee,0.02456739321657282,United States,0.00703137311107872,0.008979819789466954,0.010928266467855188,0.01287671314624342,0.014825159824631652
32.7831,-96.8067,0.001381408216743743,0x8e943e68e8e4a1ebb7e5a250b081af507d40e616283f38d2d2a2a4b6523c02ac,0.0249120853406083,United States,0.0037344759291301982,0.006087543641516653,0.00844061135390311,0.010793679066289566,0.01314674677867602
32.8546,-79.9748,0.03288367848273834,0xa651c7c52d64a2014379902bbc92439d196499bcc36d94ff0395aa45837c66db,0.022489419302323493,United States,0.031844252564696855,0.030804826646655372,0.02976540072861389,0.028725974810572402,0.027686548892530916
33.9192,-118.4165,0.006213421675138368,0x41484099cd0ab3821ddd330a0cb742cafd6a1621ec1b993f65a8c6c5108a114d,0.024956318105999617,United States,0.008087711318224493,0.009962000961310617,0.011836290604396744,0.01371058024748287,0.015584869890568993
34.0522,-118.2437,0.003183088873046471,0x6fdb6516f550ceada7d1fb687b52e4d334c0805a856f17c85f1eb852cbe66ffb,0.024882140866714843,United States,0.005352994072413308,0.007522899271780145,0.009692804471146984,0.01186270967051382,0.014032614869880658
35.617,139.7486,0.042192611196856515,0xea733e480c379c61dae9cfb3f14a388f6a683d7a797c135f86b924fb7a2e8cdb,0.026406799975039617,Japan,0.040614030074674824,0.03903544895249313,0.03745686783031144,0.03587828670812976,0.03429970558594807
37.3394,-121.895,0.01855324278601596,0x2784eb9f3b368be1db73256336014a01c02b1b06ab01df7387bb8945ca73045e,0.023428371387548632,United States,0.01904075564616923,0.019528268506322496,0.020015781366475763,0.02050329422662903,0.020990807086782297
