latitude,longitude,stake_weight,uuid,GDI,country
42.8666,-109.861,8643657059164,NodeID-Fk1hBt9ZyaKiTPjq7MLyvL7Kgd2YMH4ie,283722.5190014663,United States
43.7064,-79.3986,138407141605567,NodeID-HvxZoKdC58RkD4ZVTYwjVZ3TsiQoTESEP,248199.19735552778,Canada
44.4323,26.1063,2015041480626,NodeID-2jz2UxTN4JBu5qxWi4gwtqyQPLizj6Xka,176239.21619882062,Romania
44.6365,-123.1059,2679951606637,NodeID-Mm8qGQPb5tHF96ENH1MuYsYwhA5Nj2DHj,329197.615505785,United States
45.2501,-74.1325,166806396044863,NodeID-PY5kT7pHUEZPmh2QK5k6w3H6pKhFGUfq1,253541.16930182723,Canada
45.3071,-73.2626,2268000000000,NodeID-N8tijV4qwWMep4STmLzWJEkqbg6bSdCmn,252997.5041109241,Canada
45.3134,-73.8725,2417258590771347,NodeID-E8CBDCxz5E7T2yVUeKEzR3VuJytqobJa9,253283.34421610783,Canada
45.4643,9.1895,3000000000000000,NodeID-3Kw1H4pXQpmik4wfkjeMxdhrUxAkdq753,153964.35977649302,Italy
45.5088,-73.5878,5061690230426708,NodeID-zbFM8qH7MnQ8uo6rm4tZaq6vhbF4cpgt,252945.00015813042,Canada
45.5229,-122.9898,2153056341478,NodeID-GjhswJNtzhnY7WhsCnCQ6qttN1RFjzubp,318123.65952284145,United States
45.5469,13.7294,3586819305899,NodeID-DY2Tk5ZqUir1NpSiTwXVGdETCGGEV8wHe,159249.39914146435,Slovenia
45.8399,-119.7006,3903170388484470,NodeID-LMaV6Nzx3kncqBXSvwApabEvjcrpWc7uY,300950.2990559425,United States
46.3044,16.3378,6397634735708,NodeID-7EEYbCpedmA4bgHnnvhx4zXgMUpKe5Gkd,161836.49028912556,Croatia
47.0505,8.3064,10993380036722,NodeID-33miCHPn9eN8H9Yi4bCzEaL9Sc5BLeKMg,147858.70584015333,Switzerland
47.1688,-1.4729,4203000417552,NodeID-4teb2JJaaGsiLTK4qHQTpGMfy7zZdU1AC,146444.16127501527,France
47.1724,8.5175,133358817647146,NodeID-PqL7ZLMh4fFQNxKrKt9uWuZKa3UGsdcdQ,147610.94430747535,Switzerland
47.3667,8.55,8082000000000,NodeID-FSqzWFLa9mvCV5WHBraVNUekg621YyMTE,147103.58681631868,Switzerland
47.4984,19.0404,6669100000000,NodeID-BU3rNw3cZbX2Aw1CHwnupAh82jxgrtEmC,165287.96063900497,Hungary
47.6062,-122.3321,1621374770000401,NodeID-9NEeo3Ayq5qGodBbMZ1gdCQ4bmGH59BBo,312024.629435619,United States
48.1193,16.2661,7747369880084,NodeID-AQT1i38PMJQxRqjpwrQ98QESW3EJzG3p7,157466.44883270006,Austria
48.1374,11.5755,9876922286244,NodeID-4SvFyvJPHPYvkMnJqBaNcwr5yuU8sCsem,148709.30510120283,Germany
48.5839,7.7455,121528543567296,NodeID-4bKCgF7VcG9ZtcfMwAVFfBJoh2xDgvz1j,143994.876226342,France
48.6328,2.4405,2001000000000,NodeID-36Vywf4J2tu9gA8xJCxZjwi2JABWSF7qo,137869.8871777624,France
48.8534,2.3488,5279301295408772,NodeID-EvZXX2K2eVEV7n6Y8cnmeSRgj4JhkCVad,137467.16228756655,France
49.2497,-123.1193,8965079696538,NodeID-4WGNJ4vv6bH3FLCJgovqn3D7RCJ8rKBDR,319273.5592937574,Canada
49.4453,11.0222,967240661397691,NodeID-Bw6s9DYKi2V9jRqNmaheGGg2Wz2Dv7DQo,145958.56014956147,Germany
50.1025,8.6299,14800779245172568,NodeID-NJaSwZPtuiN9TxaFLVF2sk3eNNHGm2UC9,142755.64662680973,Germany
