,10km,15km,20km,25km,30km
10km,1.0,0.7614001501435054,0.7616940885221288,0.7342687775131977,0.740521712441862
15km,0.7614001501435054,1.0,0.8629739480557109,0.7923704792817983,0.787596783478466
20km,0.7616940885221288,0.8629739480557109,1.0,0.8027491806543582,0.8067993608761225
25km,0.7342687775131977,0.7923704792817983,0.8027491806543582,1.0,0.8095652757557915
30km,0.740521712441862,0.787596783478466,0.8067993608761225,0.8095652757557915,1.0
