,10km,15km,20km,25km,30km
10km,1.0,1.0,0.9614394353489758,0.9586606802317899,0.9603026232391948
15km,1.0,1.0,0.9614394353489758,0.9586606802317899,0.9603026232391948
20km,0.9614394353489758,0.9614394353489758,1.0,0.9698736293697933,0.9671919542022858
25km,0.9586606802317899,0.9586606802317899,0.9698736293697933,1.0,0.9722563237303969
30km,0.9603026232391948,0.9603026232391948,0.9671919542022858,0.9722563237303969,1.0
