,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,3182355.968539048,2096088.3233793096,1176346.0830673354,14997261.508307664,1440.0
15,2475054.8918349342,1688271.3496879796,915560.8602822219,12038034.651768912,1122.0
20,2306432.072470369,1592998.4899525966,867692.3889343663,11299929.540092746,1046.0
25,1990661.6006138725,1432404.7032464556,730035.3983193586,9938766.126833595,913.0
30,1820170.0985767492,1334321.1874810008,669112.0362140147,9130603.947812857,838.0
