,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,306799.65313183336,177998.87297089866,146941.586340778,907152.5159186654,108.0
15,299457.97882395843,172641.81274441158,146313.21704178434,892074.0255754493,105.0
20,280223.10161155945,166392.97316860108,133975.01654741995,826681.5860823569,99.0
25,262749.52085537306,156863.10150396463,127870.1891178148,784606.8921715632,94.0
30,256784.41685158332,153492.6152553909,127550.84883585847,776277.8563790045,92.0
