,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,3161472.8497950346,1469450.953079727,1876205.5048338065,10841485.468853567,1159.0
15,2724258.2217878927,1302269.5414912638,1622417.866884983,9567788.316074705,995.0
20,2366931.4139557756,1185965.0489381994,1391134.1379720564,8695791.51670743,875.0
25,2096408.3313548525,1082514.5505298993,1249747.8650188076,7757858.616971309,775.0
30,1977076.4352271247,1020254.2412985349,1172116.116565148,7282121.4531868305,731.0
