,10km,15km,20km,25km,30km
10km,1.0,1.0,0.8808579498025122,0.8808579498025122,0.8313104493213911
15km,1.0,1.0,0.8808579498025122,0.8808579498025122,0.8313104493213911
20km,0.8808579498025122,0.8808579498025122,1.0,1.0,0.8821770550242269
25km,0.8808579498025122,0.8808579498025122,1.0,1.0,0.8821770550242269
30km,0.8313104493213911,0.8313104493213911,0.8821770550242269,0.8821770550242269,1.0
