,10km,15km,20km,25km,30km
10km,1.0,0.8989060139919722,0.8137439958900204,0.7870859990762966,0.7938410227627273
15km,0.8989060139919722,1.0,0.8327915980690607,0.7820426201010562,0.767766684998242
20km,0.8137439958900204,0.8327915980690607,1.0,0.8395793871000842,0.8387826537394508
25km,0.7870859990762966,0.7820426201010562,0.8395793871000842,1.0,0.934703375552508
30km,0.7938410227627273,0.767766684998242,0.8387826537394508,0.934703375552508,1.0
