,10km,15km,20km,25km,30km
10km,1.0,0.8844880523322024,0.8576213408120834,0.845629426107112,0.8547112704704315
15km,0.8844880523322024,1.0,0.8685062964567385,0.8691580668265394,0.87894104917442
20km,0.8576213408120834,0.8685062964567385,1.0,0.8969869359786986,0.8752598020320072
25km,0.845629426107112,0.8691580668265394,0.8969869359786986,1.0,0.8864104956236973
30km,0.8547112704704315,0.87894104917442,0.8752598020320072,0.8864104956236973,1.0
