,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,100585.54607010099,76168.25296266268,27949.55710408561,272158.48813684954,48.0
15,100585.54607010099,76168.25296266268,27949.55710408561,272158.48813684954,48.0
20,96628.69624815542,72865.77308599163,27949.55710408561,266831.9234822349,47.0
25,96628.69624815542,72865.77308599163,27949.55710408561,266831.9234822349,47.0
30,90534.20020889632,66590.29577821543,27760.451546113196,251718.2999061708,45.0
