,10km,15km,20km,25km,30km
10km,1.0,0.8112122498856384,0.7957182770776413,0.7873264794118326,0.8653522945671734
15km,0.8112122498856384,1.0,0.9065061179143438,0.9112529737128584,0.8226787179114579
20km,0.7957182770776413,0.9065061179143438,1.0,0.9529320270738938,0.8293723623329851
25km,0.7873264794118326,0.9112529737128584,0.9529320270738938,1.0,0.818750418628179
30km,0.8653522945671734,0.8226787179114579,0.8293723623329851,0.818750418628179,1.0
