,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,246608.5059913842,176917.70787935192,115047.73765986615,1503203.3236196185,129.0
15,237602.00668003122,168627.20539376902,112885.24160288573,1422386.725212541,123.0
20,230435.52216182483,162087.0966271026,116766.33267367049,1383404.5603336268,118.0
25,224600.8228414622,162839.56932356424,111064.62392969016,1383404.5603336268,115.0
30,217274.4467411079,157558.8128814769,111064.62392969016,1347031.4758125483,112.0
