,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
10,153754.40839027104,72391.70528841313,76272.43980482624,495965.9481519287,47.0
15,153754.40839027104,72391.70528841313,76272.43980482624,495965.9481519287,47.0
20,152228.77880056453,72066.48187138778,76272.43980482624,489652.1332830868,46.0
25,147166.2788942144,69839.55026653646,74549.84080016345,477578.50250343874,44.0
30,145345.19640849475,70451.75193948785,67196.16844200582,469249.46671088005,43.0
