uuid,latitude,longitude,stake_weight
16Uiu2HAkuy43RT6PDAvyFqLYvvfoKvrBehU3YrWtp4bMarNkGYpX,48.1,18.2,1
16Uiu2HAmNfcTL93nZFk16sNh5t8V8D3aDMFoFuv6FCY8nTB8Racs,24.7,46.7,1
16Uiu2HAmPyH13osoHmc6q9nwxCykCbx54pe6a8CgP4rivbDoJvZN,1.3,103.9,2
16Uiu2HAmD6kdvRj2gVgQ77pyxbBes8xznyBZ1pvrHxvnHQCsy1Sn,51.5,-0.1,2
16Uiu2HAm4hCU7MdDySVZJp1r5g9gqWvLdZzKpc1Fqrd9zNbnwWVG,50.1,8.7,0.98
16Uiu2HAmEwghSfcT6gvkPu1wSpjgXz5ZKed8mbUnNSBZeKS8f3p2,35.7,139.7,2
16Uiu2HAmBki8j4rBPEbTmWaToMrBqNYMH1ct3DCT2QHq8TAKJkGT,37,-122,1
16Uiu2HAkyLi7Aefix4NCudcuAVVEGGffzJRZnJVgZ8hEqrAYN5oC,39.3,-76.7,1
16Uiu2HAmJ6ee3aivbcTKxQYE13HAyAXnAxiWsuM717tbPKaCrRwk,39,-77.5,0.92
16Uiu2HAm1w8HYFLujRwoubXnauqKidjR9gv4QxtisGAwyACtj197,51.9,5.6,1.0
16Uiu2HAm7vU85SWAKnCnJpawA9fQFTgoL6Xk55HnBvaaRsmT1EAi,34.1,-117.6,1
16Uiu2HAkxngAFwdWBbLYkJpiVLHp4d7tquMD72FwgQAcp648fFnu,51.5,-0.1,2
16Uiu2HAmJSZAJ7DjvGC6NKsy8G7fgSH94LXVrK2KKqL3yWFYB5zf,41.9,-87.7,0.84
16Uiu2HAm66JwFzoSnSpiEJZvdiS6TEyh1ig3zVbVWZU8FNhstXnZ,60.4,25,61
16Uiu2HAmPDuFSGjzk6pU88qdZz6Aws4A7UmRyTUmrUR4fPv46JGm,24.7,46.7,1
16Uiu2HAm8JZKDDrsszRevYq1GowhQnTwxPxN1CTVc3yL5QJVQX8n,43.9,-79.4,1
16Uiu2HAkuibTRePPgX9STQ5W3kS5svVLV6xCB8f9YbM981ha7TVg,45.5,9.1,1
16Uiu2HAkxSgSTN6ZDd6ZiGGQ9MN3aussJk12xkYT8QhuT1GLqtS7,50.6,3.1,0.73
16Uiu2HAmEosQqxY8gApBEQgKU6BUzZxXem9vrL5ABpiynA3KFHYX,52.4,4.9,0.56
16Uiu2HAmMvPRRSmbdxRUVy8A8PtEjiXjkxZSFz8aSubEPaASfGgn,37.2,-93.3,0.89
16Uiu2HAmNoLqoqg78fEYGnCXHXmywYyfT18Pzg7YDAw7qvAkc4L6,28,-82.5,2
16Uiu2HAmSHWun49937TrKExuUiSh7HYCZu4sZWJyZJwy4zGXCpPr,52.5,13.4,0.58
16Uiu2HAm4iDQUZSGpK4FzG2JhrAuCzZySaH8qTg7nsHd7uwk9htR,41.6,-87.5,1
16Uiu2HAm9xUiSHFfzc4EmsPCuxkuaamdGvmW94VHBPeZ57YM2n6F,47.4,8.6,1
16Uiu2HAmUwCGiqCT8qSd2CpQku6AL1FLiX123vvvXv2EYHWtjr7o,52.5,13.4,1
16Uiu2HAkwyYUDNhShGTYJdL1bBZiLpSnqrKLrP8k3DAj8rbFpKxB,60.4,25,61
16Uiu2HAm14v1NcJqRMZzbpp3Qe5XAs2ktPEUH8ZkN8PZNLCW7RWV,36.2,-115.1,0.95
16Uiu2HAmDtGW25kDvYwK9nBgfrW3Q4kVurSHqWa8oVgaLBTQA86u,50.1,8.7,0.67
16Uiu2HAmLVaK6qb2X5rwbVF3UwiJBAh8oURCcTWA52PQn2F5XtGD,22.3,114.2,2
16Uiu2HAkzajXXXxjNwifyU1kEqXnLyYWDST8YqFK2JTzr2JrxHRw,49.2,-122,1
16Uiu2HAkyhF4vTFZTL13BUeVEiQoLvcfP26GndVVj5PKSyt6EiYM,52.4,4.9,0.96
16Uiu2HAmFmtb6zYFYA64tZeKyzxxRvJ7MeuFPLMBJDxawCzWV9ht,52.4,4.9,1
16Uiu2HAmR6tMpxYPJFJzSAYEZ5e58Ws7JT5PRgZGGuuvbebufbqF,35.7,139.7,2
16Uiu2HAm7rpaKPsvpL6TzdpyhBXfFsyqaXdYg4UYeHsTVR1y8Fai,1.3,103.8,1
16Uiu2HAmLwGs5eAT6G4AYGFqUx65Jf3aAqYaQ2j58TiUzzj64RR4,47.8,-122.3,1
16Uiu2HAmKEgwQryAL7nUeGHjk8sGvRrKiTLdLmn1ka6YZGhT8thH,1.3,103.9,0.56
16Uiu2HAmDsPY6vvqHNp18NiFzV84BVRHBd25mefrv3pt4Y8MfgvY,60.2,24.9,0.88
16Uiu2HAmUBChh6UiqS7Ze4d5PFeN849Prv1mZbADLqKBpssr6wcc,37.4,-122.1,1
16Uiu2HAmGdmQ6p2QFGFm4hpvqtUv5iLd5YH1S8ucefC5vhTuyJZr,25.9,-97.5,1
16Uiu2HAmCX8UFpf9swiBM7WUFTw7EaRwhqjPH9q1skc5N5qQjeqY,31.9,117.3,2
16Uiu2HAm5pPjQ89ztLsrK4by4fSd1jiFoBfWchY1qmzKRqZPRX7H,39,-77.5,2
16Uiu2HAkv3p5pQcuzHxRS7a87ZxyHDcTu5jEDySRh9Dxypj62UUH,38.7,-9.3,1
16Uiu2HAmJV2XSRiZEMmuAp2t8B4jz8gq6X4A5kNWK6Sq8w8skdbz,22.3,114.2,53.32
16Uiu2HAmEH63zHFLNVg2KLBXozWHHTUETaqS3koxMdw7nc8Lmzcx,25.8,-80.2,1
16Uiu2HAmCK2SLpHjpNnGpZ2B6GzN5jvJyJQAVqtAXZvNLa5SJL2b,60.2,24.9,1
16Uiu2HAmD1Mqz3sw3S7YMkucK56q7FvuhfuTJxC4VKstkmaxUYHc,55.7,12.6,0.61
16Uiu2HAm7V89WPqrvMT88CMyZwdGAMct7F2AgeHFbxGakdS94ng6,50.5,12.4,1
16Uiu2HAmR5w549DoZpPeoMcWa7HfDnFA76AqzZoVaCsubHogjRM8,25.7,-80.4,1
16Uiu2HAmJSnwbSquXe44eNsZAwSTY9m7rDY394HckHojBCKiihFB,52.5,13.4,0.5700000000000001
16Uiu2HAmBbqQQhrQQZ91e152Gee1ZwpVEG6PUKQveC6MZsvgDjfG,40.7,-89.6,1
16Uiu2HAmVK18pzzLy2CzqzvQ4USHD66dvrY29UZx7Y4UXsoNELfL,35,-120.4,1
16Uiu2HAm53nWD1Fs4LhkkgkyCrENfQCWMo3GJQMuCq3CpHZnmXK2,47.4,8.6,0.95
16Uiu2HAmJNFCm5Pzh7wTPAYXfEqDbKfdCAEM9J6XMUZRnBZevuSM,60.2,24.9,61
16Uiu2HAmNQx9dNBV81R22sN5JWPm7Lb9cPLRJBM7XtZWu67ZMffh,50.1,8.7,1.68
16Uiu2HAmNmNQJmXGmyK89mz6p4NBeXXz91mmJvgvuRaqcf2JNYVE,33.4,-112.1,2
16Uiu2HAmCUoaskz9LQsf1SUeVUJqjbbu1bFYFs2z7YVMahenvgCf,50.1,8.7,2
16Uiu2HAkziZxKPAG9ooZSEWa9ts4euHRpnDzimP3gdqq3Aru5WVw,42.7,23.3,1
16Uiu2HAm1FAtp5UuzpAqNAjQzoLzipu5PwL2VdWSbagf2p7WesjZ,45.3,-73.3,1
16Uiu2HAm8F3pdYgyitRCiR1xLo794Zu9UqJugvsjFAo3AXt6i1Vc,49.1,-122.7,1
16Uiu2HAmAMAaaVJVMtHKGutTgSXNJcnewNjrNFHnFLZeFhehJSai,48.9,-125.5,4
16Uiu2HAkxhCzqxWcKbiibyPQQVW5KVGkB6kUkuqSVmkLoQStmS86,1.3,103.7,1
16Uiu2HAmDaMKBYVPjTHiGdTYmiMnkDhwvhv23Ct442TtQeJRyMfq,33.9,-118.4,0.95
16Uiu2HAmU2qQRgB6sohSiGb8HGTdxhEfJd4XCBLqhJ7xk7o4v4y4,40,-83,54.9
16Uiu2HAkvxzLDphHQ6bGtvJM8GyjnZkV3C6fJSxkP7tp32Xm2Nh6,30.4,-97.7,0.94
16Uiu2HAkxCMhCjtBKYvwLKx81NKBJfa1jxdkq9dwaQ4FccNj4pyU,50.6,3.1,1.0
16Uiu2HAkzgUse25qoBYaH3HW6udYohTnE2XGM4xL1q9CdgoLubzL,25.9,-97.5,1
16Uiu2HAm54pRRHxxu1ChkHixsQoiFeXA6Rqn5cNTf56b7jP8Hxqs,40.5,-3.9,1
16Uiu2HAm2cPwBAwf2ia9DQPj5MqjUTFwjDMEiEir6sa4t18ZCfX8,50.5,12.4,1
16Uiu2HAmUooHa5XbntBzUVmkAuihNjjV2tVReuU99z8AhLUHsdz3,33.9,-117.5,0.89
16Uiu2HAm171zidJreXb5tJ2AWrX9WDCui2KiVktupBbBMMBbVZvx,48.8,9.4,1
16Uiu2HAkvq5WQLLci2mpeoqdRQVD7whMoUo9ayKfjZkFhPybLPZ7,28.1,-80.7,1
16Uiu2HAmJeEBpuUowQ4ZYUKeQmAsqvbKVpXeA4JUndoTJVBMJ7Qs,60.2,24.9,2
16Uiu2HAkzGdRqTRrr48jfKsXpYVsFjhG47RQaPnYcQNeXuBMjPEn,59.6,16.6,0.98
16Uiu2HAmRQx5ucx3S6uEiSBE1jLdczHytzxNuoACArW4NwFoiJqv,33.9,-118.4,1
16Uiu2HAmLCXfqRoxggAZvT89FgMSx8frtku5thgYPeTYGAPNtWeg,37.3,-121.9,1
16Uiu2HAmDTpT2PBrwBCquJ82M26UjNCh5awmS9f7jsn4RZJFJnbZ,60.2,24.9,1.0
16Uiu2HAmSh4J71RDtBqcP7zbhM86zeSy1iWwMdPZvZwjszKLMYHm,24.7,46.7,1
16Uiu2HAkwriFfShrcR3JrX1zCincTJiB6vNBPwbbMnPAEdy4XTpu,52,5.9,1
16Uiu2HAmEBhk5MVfsL9qq6xqyc3A4CjdLCLzEgsc3Rr6rAoSMgFY,37.1,-121.7,1
16Uiu2HAmCkS3w5o4i2HWgXrDoq1kZEyMZdWYHoc2g3xthpM6mS5H,24.7,46.7,1
16Uiu2HAmBjMeEBiXamrsZvZV8f6Jp7HQc6UvsmomWULHCGwunPTd,51.6,5.1,1
16Uiu2HAmKRD7erZovKMJFwwsGJ1UcCKmnopVbvjmfPF1zPQiAgRH,50.1,8.7,0.7
16Uiu2HAmL8EsQCLkFFZRz5BRGnht4DqkeFRMw3nZQnAqPeWZCRg2,38.9,-77,0.47
16Uiu2HAmHqTiRdr2mnLQBbFHyRDPoBZ2UtQH4HpivGFLmNZvdMs4,45.5,-73.6,61
16Uiu2HAmLHiyY1WYRWTnN31zTBW1djqLFVasuzWHDm3GqVUqeEED,52.2,21,0.59
16Uiu2HAm189ChtvoyGGuJ25sdFaKFwxzWYS3AQWVyVhQFHRm4wri,39,-77.5,2
16Uiu2HAm6LSdJeTpVisHDfuiUyouQZt3UQEqkWyfwVnCHKomk6Qs,35.7,139.7,61
16Uiu2HAkwE7beM9rGz6Jq4szCA95aedquVL6tqthpCHxbrhZKMMo,33.8,-117.9,0.95
16Uiu2HAm5PT59vqTr5bjMukeGXYhoiJcDjaf88kwmPzPMWLHeKEL,24.1,120.7,0.94
16Uiu2HAmRbEoXxgBNCw4gio88FFn5zCS45NKn3MLiYusagPGKo3Z,40.7,-74,1
16Uiu2HAm2GqxPYCXvbXJeYDnUuoYQUaswr56xAXpBdCePy3HAimV,51.2,4.5,1
16Uiu2HAmRRPNG32DBygRYFmwaPv7LxitAj13dfd3RViKi9XCK2EC,39.7,-105,0.8
16Uiu2HAmCrAtstZB64GxP2KKJLvibjKzDxVHM5WZxwAgWjFk1YNd,37.1,-121.7,0.94
16Uiu2HAm5vnvCpkuM2Ae8f5GqyyVzcK58gP8cLGAqr4pjQZ2y1y9,37.4,-122.1,1
16Uiu2HAmUWhnERUXadzr9egBC8EpGHky1XaxMEtCe2A54ymqde84,58.9,5.7,1
16Uiu2HAmGUkraTi8GMPSFxVhFcDmmJouw3rXoD14XXgXNQbXKrXd,1.3,103.9,2.4299999999999997
16Uiu2HAkxjH545b6PWC2rhGgMiPA3Zv9kNXnZvkpMv6hg8ft1jgN,45.3,-73.9,0.97
16Uiu2HAmHoBovey72uvTkQemHejaobGoKgqsqAVjWxdcsNmAmFpW,42.5,-83.2,1
16Uiu2HAmLamGPkBcHFsnCLVrNdQf693FzW5d1bVtsVe4KN4A9baK,39,-77.5,2
16Uiu2HAkx4m3sb4rzN6ok5fGWYf6jqf28LsxYrDufKoXYZKtrCvT,32.1,34.8,1
16Uiu2HAmAFQygUds3sGKLPSmnMjK8X6pB4Y2GBtam5FiqG21Cr1i,41.1,29,0.99
16Uiu2HAmVFWZKxubHcFYzrpPYomhFZZiEHXg6ygqtn4zMQ3u66y5,52.4,4.9,56.730000000000004
16Uiu2HAmENEifdREvHTRNHVRmytfsmWH8LABaf3gpcj4WQKLaCw3,40.9,-74,1
16Uiu2HAmJFxJamtrSsSv95QSxxTD9LBCTinSRxzXZyJvWzVC5V2p,47.4,8.6,1
16Uiu2HAm2yWBjw6XUNk6B1qZcBkttP76aDXSwQr7w9Hy65xsyB7R,40.4,-3.7,1
16Uiu2HAmLCfZ8ZCtrmAy1qq8MPR8wg4mCf1VriFRuWksNuzVgU4j,52.1,1.2,1
16Uiu2HAm9WthxBPN9fDm8pJCKTNtmtX6EmoLGA7dv2hjznm7k8FM,60.2,24.9,1
16Uiu2HAkzd3GSMBjuXZncA7uhomSKivMTarX77cfSytVDe28Tkeg,45.5,-73.6,1
16Uiu2HAkz2WGytDNQtMfNFihZNRDGrMEG3Pf4XQXEG3QYsTfxUfD,40.7,-74,0.89
16Uiu2HAkx5CoLBcNS45Q7iczwt9T3Co4rrSifjkqHe2VGB9Evr5A,32.7,-117.2,1
16Uiu2HAmUB3YkwKVRmoDyk5hrgkA4tvZ8ybZn2Sxv3NtvP86iogU,47.5,8.7,1
16Uiu2HAmHPZzHVrkeXAgGSfCs2EVyQ8ycwF9752UEXfM8i23SBLZ,40.7,-74,1
16Uiu2HAky29F54wxb8Mcx2U53AVfaKMGWWNUrTcotXEeGuFCjJTh,45.5,-122.4,0.88
16Uiu2HAkyqjcyz6bSDh6UHupr8ef6f6rpU7CqW86V64kPkCNFpA8,51.2,6.8,0.97
16Uiu2HAmP5UcCivtP6cSPf1uJ48UjFETwmSZPi7F6GmPELqwrjVJ,22.4,114.1,2
16Uiu2HAmR58B1XAMm1LfKM9xN3yBuxJNHM1p8tPnbPcFm9H2MCBD,50.1,8.7,0.8400000000000001
16Uiu2HAm8tB1FiarP7zpVg1s6XvnqtRXNhKb6qVTiuS9HwJStNVm,-26.2,28,1
16Uiu2HAkyj53cXw6k596Zg6NFt8JsqVaRBPC3wDiL5YsubVtMBbj,50.8,-0.4,1
16Uiu2HAmUmWMnn7i2n8Jbx6Y8qs64nHnz8tMBmtKHaDBqxBrVSFo,50.5,12.4,1
16Uiu2HAmAPEbFnkpPQMV8LbC9JtJvSEy9uzZYXrLWyz8Rqso3fjk,47.4,8.6,1
16Uiu2HAmQYqNUtBCfyWcu1n4vxN47uZBdhyPMgqz4Q8UXLJwHNtX,52.1,-0.5,1
16Uiu2HAmRk5ghrh8mvsKfvb8vzf4JwTQeAoKCn7EqAN29i11Ge1m,40.7,-74,10.200000000000001
16Uiu2HAmPkcJDSM92PnJiWUdkGDzSbThaPGirDd35dtK6Nkc49mB,36.2,-115.1,0.94
16Uiu2HAm1goYT65Mi9AGE1ccYahWhVxMZ3S5a97C4FKAWjyG2796,60.2,24.9,61
16Uiu2HAmDj7qAUTwRKKUwCkytYP5yDbfgobm5FkHjEA5QNSLnxuY,25,121.5,0.51
16Uiu2HAmLzhGe9EAHSCDZQ9eftWuWssQykAYqSCWoysRaLtj2ePZ,39,-77.5,61
16Uiu2HAm7UfdV8Q5FC9RPKDJoRM951DmatyC3XXuBsg4qoLY7wXp,41.3,-72.9,1
16Uiu2HAmKYHkocjzdfChbixEvGXsP9WUX1E9E7oZS6dhZuoiYseW,51.5,-0.1,0.99
16Uiu2HAkyaPmfzfXHYkjdysovXHc291STos7gRhHp4GLC1XmWyT6,53.3,-6.2,1
