uuid,latitude,longitude,stake_weight
NodeID-7iHpsauHYyQoCjMSZsXJkqXodq7J5eXTR,0.0,0.0,2000000000000
NodeID-Pfj9qXo6LGR3goGzcLSJsCZwYNFFndV75,0.0,0.0,49910057262499
NodeID-ETvq3ja2hxt5owCsf4LcUrtwbNvTw8GtV,0.0,0.0,2000000000000
NodeID-EBF7imfP93Sc4cv3cUAK21maYDvaFMS5j,0.0,0.0,12119392068910
NodeID-5HkCsXm4TQUb9uXxM6Cjy1WzvuDSspPui,0.0,0.0,380100000682522
NodeID-F8Yq4R4Mx1LHGbQ7g8s3beNB4LGnCUBpv,0.0,0.0,7584147131903
NodeID-FyTHAQeNPFhoDetc7pznBMJ5BRj5s6FJr,0.0,0.0,18097841438413
NodeID-N5FWBAn5j1UVxb3nH45N9DyXEAaeZiU4q,0.0,0.0,7788629445570
NodeID-KPi3Vwr4PyjpUNP9dZYotgDk1Q9VYVow2,0.0,0.0,2030823343109
NodeID-CDjuct2YS1o4d14nHtszWmyVUmFjo6AHm,0.0,0.0,323432667507996
NodeID-4uHXbHesQbAzcDBRqaFyJ5kpgovHpU576,0.0,0.0,6962621117361
NodeID-KvN79EtxbHdT86o7w9GBQEVeRWZ5woAJx,0.0,0.0,2159603716534
NodeID-6CGouDLcYyiuBY9xEi4rEaHCoBzH6UQrS,0.0,0.0,2000000000000
NodeID-EWmdnUhsVGSfZPnbuSodLUTA6ReJcXz8v,0.0,0.0,2000000000000
NodeID-643Sjdbh4n7krQXPSNbSK491xfVbh3hqy,0.0,0.0,8353408617179
NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,36.8468,-76.2852,249996731850377
NodeID-PY5kT7pHUEZPmh2QK5k6w3H6pKhFGUfq1,45.2501,-74.1325,8561846049500
NodeID-9NEeo3Ayq5qGodBbMZ1gdCQ4bmGH59BBo,47.6062,-122.3321,19553323420000
NodeID-LhLiUsJSSSpW8SrXCT319enhrYDybuG3H,0.0,0.0,2922958253780
NodeID-QCfTXZ1cdPt5XT1jiJfycHKTFo6Yg164L,50.1155,8.6842,2000000000000
NodeID-6xQ5oYAQ348ntvsshCMMSd7uduReey2wC,39.0437,-77.4875,2000000000000
NodeID-D99fW2bCQpU6QCN1pu4UccDLZTQdVEwMj,39.0437,-77.4875,2515112228596
NodeID-LMaV6Nzx3kncqBXSvwApabEvjcrpWc7uY,45.8399,-119.7006,2000000000000
