uuid,latitude,longitude,stake_weight
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,51.50852966308594,-0.12574000656604767,12843072533792206
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,50.041821,8.584764,12802291324888736
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,35.695126,139.75391,10950594852386522
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,50.69371032714844,3.174438953399658,9938061329968324
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,50.38359832763672,8.050299644470215,9605067840764652
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,52.378501892089844,4.899980068206787,7916150511968722
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,41.87897,-87.66063,6041148192390948
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,39.72468185424805,-75.6060562133789,5606263261127013
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,52.378501892089844,4.899980068206787,5558688525480428
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,40.713191986083984,-74.00606536865234,5448165080307322
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,54.064951,10.765367,5437498671760577
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,39.72468185424805,-75.6060562133789,5150856985457141
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,40.713191986083984,-74.00606536865234,5095720614472578
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,50.041821,8.584764,5021930463670342
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,50.69371032714844,3.174438953399658,5004189337849045
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,50.041821,8.584764,4970019484023361
JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,35.675099,139.393288,4705219803421013
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,40.480304,-111.930635,4428133963801311
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,50.69371032714844,3.174438953399658,4351223531385182
