id,latitude,longitude,stake_weight,uuid,distance_km
1,-37.7833,144.9667,121.42,2bd99757-74a9-40db-b1ef-7a91b59f3547,155.9520114085317
2,43.6481,-79.4042,11747.300000000001,389745a4-8925-4b5c-9176-e29f8459c5f2,67.47642659864155
3,50.0833,14.4167,1785.4199999999998,51e1b183-b058-415f-bd8d-4452b15631b4,113.257954226668
4,48.8742,2.347,21902.489999999998,35d4a080-1e66-4e14-8180-6b1ffc70ea7d,120.08550110167907
6,35.6833,139.7667,926.96,5cfb3181-f9e5-437e-be29-2dd26508e256,64.82093370478786
8,-36.8404,174.7399,20.33,725c548a-a55b-4754-942d-e6042976ec4b,53.73511462353411
9,55.7517,37.6178,131.95000000000002,8f865002-0043-4876-a300-f9b337b059b9,145.647547357091
10,59.32,18.09,9522.440000000002,6f180aad-0b44-4dba-b839-0a9da11e25e7,76.48605789211875
12,32.7828,-96.8039,394.46000000000004,2c95a687-7870-40f1-a177-55b3fb24014c,42.191346122799
15,25.765,-80.2,611.3299999999999,458d6124-22a2-4116-861f-211719467a29,58.01634931531706
17,41.3857,2.1699,101.92999999999999,d3a32bc3-9399-4cac-99da-f654f51838d3,162.83747177130778
18,33.7489,-84.3881,1474.46,b292d1a5-6ba2-4186-94a7-9b7824b2bf11,153.36472694923484
19,53.3478,-6.2597,918.61,996e9e8b-5641-4d69-86c2-94811d6ff1da,29.234391984995966
21,-27.4667,153.0333,40.75,ecc0d71b-362d-4e72-9657-4d48edbc24cb,548.7039100727728
22,41.85,-87.65,1994.45,544bd610-b3ad-48ec-bcfe-27abfd53ec60,101.97739840070084
24,47.6097,-122.3331,2010.5100000000002,87ec3ea3-31bc-4fe4-ada8-610742b90919,199.14370776084596
27,45.464,9.1916,1789.1599999999999,ffc00041-f445-469e-9e2f-a3f790ca17d4,83.97369528519589
30,37.5483,-121.9875,1602.3200000000002,c8664e91-7847-4f20-b7f4-b70f9768d640,78.33889408573856
34,50.45,30.5233,32.46,55c086e8-cb44-4c9e-9d89-b6ebd144fdc0,336.39447566946143
36,3.1333,101.6833,1623.34,032bff94-38f8-494f-9a6b-4e2430e79fbc,282.8661177312101
44,38.7,-9.1833,94.8,9643953b-d9c5-458e-9c8e-2b375624d5f7,245.23412504664782
46,28.585,77.2,122.92,10d87d3c-c7f1-4cfa-b6ab-a54c551c369a,122.67495197778088
48,60.38,5.34,48.21,5322dbbc-4040-4bda-8209-af3bd25c6f56,120.78410829723329
50,-34.6036,-58.3817,25.27,a8290371-f7f5-4965-82fb-52db11a51f65,552.2505743593401
55,39.0997,-94.5783,91.13000000000001,c42df1a8-cb81-49a1-9d0c-94700d3fb6d8,125.08490463970004
57,-6.1333,106.75,11.57,34ea7528-0d87-40ff-9bfd-07202bbceabe,351.5248854092494
59,-43.5,172.6,7.93,e10fd6d6-ee9e-44be-a0fd-a132bb8c1e88,0.0
64,13.75,100.4833,48.79,e2fd83f6-ca7f-4357-bd6d-ebba71dbbb93,183.32300564716564
65,21.0409,105.7981,26.630000000000003,8e8cab26-d97d-4933-b387-93eb09b943a1,761.810212463694
66,41.0128,28.9744,164.04000000000002,858579cf-9275-4211-a785-7a0027412e2a,157.70029600904346
70,-33.0333,-71.5417,68.07000000000001,fc1e44c5-956c-41e9-a2cb-09355f954a47,101.77630722640666
72,22.3,114.1667,813.0500000000001,4d6cddeb-5e1c-417a-a15b-27635cb3bc2e,216.287118002371
74,10.0,-84.1167,1.0,31d7fa02-a642-45fb-9ed2-d33c70c2e8ee,11.268930657909957
76,64.1333,-21.9333,14.2,054cbe0d-e418-4beb-9878-8579b4a8ada5,4.040236621960135
83,44.65,-63.6,13.54,5aa17b5f-cb70-4590-9b50-18be89138714,29.34657649968642
86,40.75,-111.8833,222.08,e35897d6-aff0-48f3-accb-a2aea6054096,227.6413062843841
87,32.0833,34.8833,26.02,29ded966-55d1-40aa-ba8a-c0645f06a8b6,57.25107739381385
92,45.5579,-94.1632,54.63,1fdfd2f4-57db-4547-890a-4cab5ecc999b,184.74146114051013
95,25.0333,121.5333,183.24,d91e827e-3114-4798-98e8-f6b30f5034cc,396.0868489058593
98,14.6317,-90.5236,3.0,1257893c-50fa-4853-b217-4d67fdcff7e6,16.794752721148633
105,-34.9333,138.5833,6.95,385f665f-c245-488a-b177-e3cc446afa5e,4.003654528449351
107,-33.8683,151.2086,445.79,2cfccc19-35bb-4826-b11c-e2732021101b,87.02719336186516
111,18.5236,73.8478,8.9,62d3f3c8-435e-45c4-9948-3cfc3c9e7efe,103.79691596669632
113,37.5665,126.978,1078.5600000000002,0b8f3b46-1c2c-49e4-af64-63599e93d24c,354.3625383433358
115,-6.8,39.2833,0.99,abf59294-0770-46bf-a456-c3b11981239f,2354.0502738619375
116,24.6333,46.7167,157.5,53d9b0e9-af23-449f-b79b-f8afc3e68a5e,270.93179368990036
133,24.95,55.3333,11.790000000000001,00433551-8469-4e77-a9ab-b1160486c917,244.42596234061202
140,29.9667,-90.05,15.88,88ae0f1a-b7dd-4237-b630-61276be556a0,199.62401705431867
148,23.7,90.375,2.0,884c7d23-8dd3-47bc-af48-11786e45ee1f,484.2925755742332
151,21.3,-157.8167,17.55,92437c97-a647-4785-bb0f-0bd9e418909c,72.12941334968937
166,52.1333,-106.6833,33.480000000000004,81d8ba69-fb8a-4f89-8584-268340d76c91,451.08835187011056
169,-31.9522,115.8589,12.0,ae39a97d-714f-4ad2-989b-646c5cda4161,6.578698349876011
174,49.8333,73.1667,4.95,c35783d3-eb09-49a7-820d-edc310e02887,979.7172477144729
175,-26.2044,28.0456,52.97,4c751eef-d91d-4e79-abe7-c6735bb14881,242.29298141511373
176,55.0167,82.9333,5.93,dd54a90c-4239-4289-9c63-ffd334484823,718.3820266985351
177,20.667,-103.35,19.89,fe37a9c2-3bda-4eeb-8afd-e5642d31d28a,484.5778192355766
194,55.7903,49.1347,35.099999999999994,76fd23f0-2028-4ab4-8e40-45da0d401ec9,460.07939295003763
213,4.5981,-74.0758,5.0,de4be890-1d90-482e-9c0f-6d1a57b0f8d9,2.6905643433382966
222,12.9716,77.5946,1.0,3e4beab4-a4ae-4f17-8955-f9c20032bfe8,3.2116857965669023
224,43.1737,132.0065,2.0,d51cf95e-5ae1-4eb9-9b68-d2c2711caf97,863.2245539294271
238,-15.7942,-47.8822,13.76,7d9ad40b-6b21-415f-bb01-b7bf98063fdb,671.7757103498362
242,10.4806,-66.9036,2.81,9feb8aef-d20f-4c3c-89b7-cc9bd8c119af,881.1377781187242
245,41.7141,44.8271,24.31,37bdaf72-52df-48e3-9135-7d6bf3c82a24,437.79918632572424
246,35.8989,14.5146,5291.24,8d6d301b-5318-4870-8f64-6c1b5ea0f846,10.323120928917657
