server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
0,-7.0833,-34.8333,2,"7c902ff8-a251-4497-8f3d-7852bac058a7,e2dc858e-4b29-4eb5-8199-15af61e33a5c",558.23372176088
1,-37.7833,144.9667,41,"d68b0c9f-b397-48df-81f6-a558920b0f15,6724e6d6-0852-4cd9-badb-e65bd4037617,87681097-00d2-498e-96bc-60e5a80d7701,bd6f6af3-dc41-40fc-8fdf-a4a2612534c2,e3308565-def6-46bb-8cf0-e7d7b4a493ba,104bc79a-7b3c-44ef-970e-5a40b2ee409b",255.40650019021345
2,43.6481,-79.4042,744,"70ce096b-24fa-4c22-9873-1e04daca7483,b87e7115-ec2a-473d-8e4b-a8698b6e0937,4e769582-4c2c-4a8a-acb4-8e80693f20ae,27971c0b-00c9-473c-8d1e-763a52966560,52a051d3-da8b-491e-801b-ed8e955e08b6,bea4ea1b-7b07-4899-8aa7-60f905648e06,5ea2852f-2fa8-49ad-8294-8c03f83ae4eb,1a35c10c-8e68-4769-8a89-24f0ccfd5c8d,78a1bde7-1ffa-4a40-83a6-50ae12de23a5,2dc50ede-21a6-4c3f-be5c-8204146e75c8,84914444-ec91-4a65-ac29-d566fea6091f,ec38280e-ff82-4b60-bdcc-2151e1a74b6e,83d81067-86ca-4283-b8c1-9fae68e4390e,4c36c719-6be7-4211-a118-28dfd73b3aae,d23da4e1-ce95-4bd2-ae61-7eab42282dfb,ec9a8c86-fed1-415b-913f-3a4bb7bf74c5,0cf68f95-cecc-4639-8842-4cd03bdc1a6a,509c23c0-2664-48b2-9a2b-b2e40703759a,3c3786fd-d01e-42fd-8d96-abbd553a8a6c,de4910f4-bb98-4f98-90c7-1597f0c6aad1,e6a6f97a-76c6-4a4f-b29c-e153f8c5c65f,3f8873f8-8bde-48c7-8b4f-80014ee0d687,c4971b52-6318-46ef-b75e-719ce6df9d9f,4b256771-a5cc-4f66-a2aa-860f70ea3f77,b1da70ce-ee66-4a84-bb9e-97bf2cf2971a,6e399443-1d7b-49fb-b369-5d8a2db48120,02f9322c-3483-40af-b8f7-ed829b060afc,bf743d23-34e4-4ff6-ab14-4529340c81e0,788962c2-0edc-4731-b1f9-31c5cf1be4b3,4f243935-41a3-47a7-b2ee-f9eceed5e514,d1bbaf88-4b85-4548-bcdf-bd9d9ddbf6e6,2a5962c6-1556-41bb-b463-c5f9112e143e,53db4f77-e541-4270-9099-bd38715cfc7b,e4a53847-64bc-4efe-b315-5c269dc6aba7,fc6bc283-c5e2-4b8f-9253-1776ae4081d7,225ac1a5-e64a-4e41-adc8-ef70906e1d97,ee332387-4f7f-45fb-9dcd-d6239603d48f,1ff63dc8-64cc-4760-ab61-82a8ff870efd,7fc0167a-f0fd-48fe-9878-730d3ce40edf,b82371d8-9a34-4add-ad1e-4aed76175245,b4cc6694-94fc-4415-9a68-01e4c44959ff,542411d8-183f-4425-bd62-d1fecc36b00c,024440c7-2642-4e0f-80bf-3c949267c341,0822c495-f192-48bb-8117-8eca2c1bc89e,aadf0cbd-b9cd-4116-85e9-afd15282647a,55542ed2-a5c3-4617-b7a2-a7b9b95607a1,77704d6c-adf0-4b4d-ae6b-35910627c362,14f2a709-6fcb-4179-a7f8-6259e7e288e6,5c7a4ba5-5709-4184-bea4-788863cda636,db815584-b54c-402f-aca7-4389c2d1bfe1,a76fd366-11b7-49bc-bb9a-95e5ca015db2,46590b48-c4c8-47bd-94ca-8d6761801504,b8a9f69a-01c5-4d29-8ee1-810995c67798,d7282cbd-fa80-4f4f-ae71-492e1613ed44,ebc18b1d-53dc-4d31-8465-ce8e5fe7bbf6,f56649b4-9d62-46fd-bc3f-891fea6c2efa,bf78e0dc-e148-47d5-85d6-dbbb5ed14049,58c92926-dd97-4afc-97e4-76e6701e4995,b4571162-33f3-4aca-bde8-02bf2285802a,568d418f-f9a1-4aa7-bddb-1af521f9eb32,f5da5ac7-eb29-4107-a9ac-7fc5e8934b69,cb7c59ff-3aee-472b-9e68-0e39547fc105,5f33119f-7a31-48bd-a471-87029224ebfa,d87e8ec5-ac03-40b3-a725-52d578dfb21b,133c5c79-9bf1-4ec5-9132-ee8fe17fe428,9f49923a-8c2b-49ef-96df-48aa4c8c2852,0883f035-281b-4c18-8a79-d313d0e4432d,650137f3-30df-46ae-b1d8-423dbf537063,3b5f0c16-7629-4b4f-aae9-3c49655b5608,eba71347-f6d0-4663-98a4-dc664063d4fb,ef9da976-5974-4ad4-b380-df7d6954fea7,dcaf3dd0-7b05-4101-b1d3-56c9c5a2fa03,1231e967-b2f1-49ec-9cb2-f006e58c9abf,386ec326-d173-4b09-a2e3-147eb779fd05,10f76695-3c33-474f-a55a-63f09351361b,906e529a-d576-4ad0-85fa-590a28abe12d,e2da7f9a-98c2-4882-a757-30356d1f14a0,acefe79b-a97b-428a-8c11-43d6323acaef,0ea9577f-2df0-490d-82f9-665c08976fe4",86.33313135559293
3,50.0833,14.4167,183,"238c38f9-9822-4913-a28a-92f847f8fa5e,19f19c3b-4ead-445e-baad-48fd1c0859a7,e9669e9d-076d-44b0-88e2-d87b86abc0d8,89923db4-6ac9-4764-9419-5968bf7a3e59,ba18b078-1e1e-4c52-8348-060b694398b2,2d624b76-62fd-4507-bd69-a1e83e739a69,e6e5c474-d456-436c-9075-80c9832d75d7,0af41744-740a-4c77-9f5a-cbe0d11482c8,370e2f57-de18-4277-857e-9b454ee299e9,3b5949df-c080-495e-b620-ba5b8debe1b8,234cebf4-b713-4cd9-87f8-a3a5f847e052,2264e637-222f-4652-a22a-bba3ee137fc4,bd15bdff-56b9-477a-8958-f140bb975c26,a45d2ae9-2c54-4d94-ac37-474d2cd085bd,ecd69ebd-bc3a-4e5d-80b6-2ffca8468214,abe9ed9d-c167-476c-bba1-d24eba29941f,a6fb0c69-fc4b-4266-9ad1-cd0b6351766d,d7699052-a2a1-4e09-9690-30ab5e63c012,2ea6a628-6513-4b64-a22a-4b19c1c82303,b0d4bac9-1d52-42aa-8fae-c8d8efa33387,edb5701b-7ff6-4598-8d29-3248983f8361,5d1e177d-7433-45ed-bf29-545bcc6ed42a,df2af307-f345-4d39-8701-7bca7346f4bd,a2e30187-1613-47f6-b9d8-6b219fe633ed,3b3293e4-4878-4857-9308-58f6fdc138a3,084c2c47-6be6-456c-a88a-a1d86d500e3a,4355f8b0-884a-40e9-ad4a-f9176216ac29,e03fed46-84a4-40de-ab2b-451f8841c8c8,cd82a785-e8b8-47b4-8cec-13d82015724e,bd76d209-f4e5-4c8c-88a7-afeb9c24d107,1a7c98e7-509c-4182-b1f7-d1ad6e166221,c166cb48-44cb-4466-a68a-5f6a4ed57c00,2f2e4966-4548-48b4-b757-a4bcce7a8748,f1f7aaf7-1070-49dc-910f-ec265ac9d4ed,3c3aeee2-7b1f-4968-9ff3-6e9fadcba1c9,81e48e5d-ecc3-43d0-94ea-d1b7e16eb661",113.5643836708033
4,48.8742,2.347,1674,"1fbc2ef0-9ad9-4fc2-af40-52b45f053929,212b25a7-353a-42a7-98da-d8e2a4115bd9,907c665f-031d-404f-ae46-9663befac1bf,04f034a8-8686-4ebc-a442-5f9f0600fd9a,cdd240a4-8a06-4532-9b35-0ca85ae13436,9bfd57f8-2917-47f5-998f-527c2ff27d75,ca892197-35aa-4a21-a9a7-5dc1439eb186,adbcc83b-6efa-41e7-8387-e3409d1e3d0e,9b9e8d2f-dfee-41e8-a605-06720b6ec3e2,4fd8e152-d0a0-47ea-a859-1c13888a91dc,714cf6ee-c170-4f49-ad91-469f9ceaa6b4,2327ffc8-38ec-4986-b7bd-2a7f5206e93f,1c12e1a6-9f5f-4067-8894-0a6c718506d9,ee8a4efa-8314-4b07-a3e9-4d78612f3d65,19d02d1b-0ac0-4656-86b4-d449a5750448,a0a2bafe-8384-4517-aeeb-35b845ce2127,6d80c8d1-507e-4102-94ba-25d37c306861,828b9953-cc78-4331-8949-6a0edda5cab8,d448e620-57b8-4f1d-a39f-b6baef2f33c1,6835cc2c-09d5-4dbf-a170-c83eb5fe0421,4c2b8667-e805-4b7a-93e1-2d2c73ea6039,a11cff6a-e496-48bf-a517-e624de9deee8,5628d444-0274-41b7-994b-a956b09f94c6,61514a82-426e-4509-98b5-d4be52219f3a,48b3b288-dca3-4eaf-871e-ea757f0a4bb4,8996be35-8ac9-4091-a30b-a18d7a44b198,3128af0f-78b3-4eea-a38c-4ff4cb4c61e4,2927fb1f-2ae9-4433-b654-b85a0269417e,8887d73e-c11c-491a-a8ba-47042befb2cb,3f4db5cb-a16c-4315-9051-a7fe70b9b3fa,67637f48-1fbf-434a-8c86-79c2bf823b09,6f6354b4-b996-4113-99be-da21118d0003,923b5039-9e9b-4899-b8eb-abf5e130b599,00414684-6b5b-4639-99d5-50b2f9858733,11cd3834-1f20-45eb-acb2-cb084aeed309,9ae7cc39-8d1c-4798-93b5-c02505cec529,184e8eea-4cc9-466c-982d-6ba3b121fbc6,c6db4108-3898-49d8-b3bf-add6ac7f9c86,fc1dba5b-514b-4aa1-b524-1c57b01d4bbd,558bec20-aa82-42a3-b644-6de448760d2c,dfa9e253-5e26-4e79-89ce-4e63267bea68,017d2e51-eaaa-4975-877b-25f18ebaf7dc,8a05299e-dff0-4ffc-9236-63adb19de5e7,b5d08891-2264-4027-8299-4d3e5ff41183,792df1c6-4185-460c-b82f-a6ebe0828ad1,ead648df-c63f-4da7-baf6-e3a17b65465d,7987e64a-adcd-4af2-87d4-707942717c59,bc1d4bed-b9b2-4041-8d9d-b0e84fdcb6b6,fe2476ef-1603-4d34-9342-7acbd806d532,4083c8e6-83eb-4f85-9823-70c41073dd1f,c0459fc6-61d9-4255-b891-fa50768377ca,84ac5430-2612-45da-9d31-b94d260bba85,fac56ebc-cc2a-4071-ae5b-54cd62d160a5,f50efa59-ec99-4e95-aad0-b8d91ea139b0,2f20c964-ca31-4fda-9e34-9793ae2f327a,174aad0f-fcad-4f3d-a23b-200ae5562cae,677c3983-0585-4e7d-866b-626c0b5bd49a,85b85d2c-d9dd-47a0-804b-9a2cdcdec699,3e95867c-221f-4a12-9f12-77b4519523c9,aecd3cd5-fed4-4f61-b616-afdda1422619,302a9ef7-f7f2-4d5f-82f6-40a98af5b11c,4a933b9d-284e-42f2-b227-3dd8ff4f7f05,079389b0-739b-48aa-a22a-9bb6f1442fa4,90663cf2-bc07-4dab-93c9-d95826ce77db,b788ae63-2ecd-4717-9cff-86fd4af17f93,a6f2573a-536b-4836-9c76-b89f2c9594e5,fa8d8416-3a78-4604-999c-f366cd455af5,ab640c5d-658d-444f-91c0-28758146597f,ac0a5216-f10e-4913-af1b-88a59efe95fd,245743d4-0cf0-4eef-85f7-d118fd3e02d5,40e3a006-3d11-4405-b0bd-53a097a1ec72,2380482e-4f49-4905-9acd-570335b20f46,d4d14c2e-0025-4637-875b-b48187f4dda8,f90d5589-eb53-4c8b-acae-5ddfa60b2565,c61f52bb-ccde-49ac-8e13-9eda28553fa4,1c0b0394-9e62-4cd7-8612-4d1adf4640c2,83331e06-a584-484d-a859-819d53d717e9,069d544f-9199-4304-b95b-516dc57a60f0,be726a22-27a9-4eb8-b414-f72b12e0f5e5,11d6d48d-2a8e-4395-827b-a6e3a0953881,8e80aec0-8c21-40fd-8841-b4f98a78b003,200a0a19-0fc8-47e2-a68b-1580305293f7,5c61aa54-4ca2-4b7a-8bcc-f39fced03643,41f4eb3e-8502-43ad-9b90-8eb36ece0783,8894f851-aaba-4d31-95f5-9c295d8151d3,6e6b468a-049e-4078-8a93-265db3d4965a,3bd97ec7-71b4-4f7b-9cb4-1059cb99a90e,27d8e1f9-f2c8-44f8-9228-cf4213c93da7,6c79f887-59ce-46db-8284-0567a081dbb9,70ba43ce-1e3a-4cc0-b5c3-4b27b19d9c33,ff2b9436-65b4-4181-99d0-e537af7bb733,d5ec663a-57bc-4c1a-a3f8-211bfc98e29c,46ec84a2-587d-4a0f-bed2-a00679bf737f,a7ad2954-ce2e-429e-b611-52aa4f50073b,62ae0705-6c88-4b40-a248-784b88ea43a6,b997b690-0b28-4d2a-9522-ce84cd7f429c,6f6101bc-df38-42cc-962f-47f4c382d1bf,01c6dda4-025e-4440-9e95-4e533c3b8472,becc5020-27e0-40fb-a958-4be44715948d,3a7c2d7f-820a-4235-814e-50a4a3fbae39,0cb9076c-d98f-4f7b-89b2-0449ab4796a9,90acaa75-787e-42c7-a0c8-217fd00fef2e,ca37b9b7-6320-421c-889e-21f0a51ab928,066e49d6-d555-4594-a637-5b2d443a3148,c0fa6f4a-9970-4cac-9de8-6ba5b19065f7,2f82d610-e5fd-42de-85de-9e8bc434eccb,b446200c-dd13-459a-93b6-2c9523e36f23,ca000eb5-3a50-4e28-be08-a0aac23172fc,a3c6eb82-c9d0-42c2-8536-b2bebca35b40,7784b866-bfd6-47fc-a1b7-6a949036f951,fd08c303-d745-43cc-bd6d-c54df9d3d646,1623c54b-8fa9-49cf-bd7e-32df442dac93,610f601b-588d-47ed-a934-ccd420a07b4e,9ff94f14-8705-4172-bf0a-6e15855d4850,26d581e9-de90-45a1-b8b2-472dae4371a1,475b79b4-c8f4-4da5-81de-773ff9bcfafc,a8ee98ae-608c-4519-a9d7-a533492d73a8,255cb1a5-f752-49bd-a8e4-3a616d550183,4da295ce-3225-4955-b360-bb80469414ae,f4138cab-2764-4ce3-b5dc-24fa6f2e4455,3e8afcf0-2850-489f-b16f-562b87ccead4,99bf9d11-f123-46cb-812b-38c18aafc7fa,ed99b153-601c-4c26-ae37-27744b5fef2d,c1821ec0-b3ce-4568-be03-9902bdb70549,b24ca851-fc3c-44ac-b817-56d7248dafa2,ee8ee1c6-846e-4934-adce-ed23f2877b63,fd86a6f6-1361-421c-bb53-7f499e331f7c,1653b142-3e7f-4377-8d7d-0e71e77c988e,f54b68cd-62f9-4937-a356-f9c3840226b3,49869bd4-a6b0-4332-a360-f7a065bb97ac,749f062a-8828-442c-b1b0-f00f59d793f1,1150b776-a9f0-46b5-99c7-5e09a5ac274e,b1d9dc66-1482-411f-aed0-2469b619ade5,76660e5e-d588-4793-a742-3b0ce6de67cf,901f4300-2390-4d6e-a4ee-4367ab980d09,54c6bd76-0fc0-4e25-8762-673b81e5a8d1,4d468f8c-905c-4e8b-b35b-0e7313fbb069,dd5325e9-3def-4ca1-b2d7-21e2e541cbf0,55e6540b-d052-495a-9ad0-a798c87384c1,1a961f72-5a25-442d-a50f-8d0222ea5d52,4eac6afa-1290-4392-85fa-aeed6c0e8610,f64b6e38-54dd-498a-bd7e-1fc858995e47,8549714d-e7f5-4610-8183-5a15d4738a23,a9e9da8c-3c01-4a49-b282-348f07abf749,a5857416-6bc4-4e75-9689-99ea74cad652,d55d56c8-e820-48c8-80e8-1885c49452bb,4149eeba-8f5a-499d-b61f-5b9a6f8028e9,b982ff69-91e5-4c9d-8fd6-715dfe66a7d9,9d66768c-42db-4440-b013-f92e947db69a,6668bed9-2ad9-476d-88f0-6984255663e7,7975abac-5805-4353-b661-acb58db61ef6,6bb78f69-6f9a-4ae2-b0b6-edf28c9c3944,9c326717-e890-4e12-a173-4e2df6ddd65b,eed6be46-64f1-468f-8c78-0f11e381ba7e,c3637dea-ab4b-43c6-8f0b-9529b3a04390,0831ab1c-736a-477f-8b4d-cc46ac08ede2,69952700-291b-4072-b5ce-61b0dda97a44,da17606e-e68e-4f13-9015-3caa508b7521,63d919e0-380f-41ab-a117-987a30129974,00081ded-f4b2-4ba9-a65b-1f463d01fdec,0ca18560-1aeb-4414-8f89-d4dcd3a5ec2d,0b67020b-7bc0-4f8c-bd77-9905e874426d,a738e919-02fa-4877-9df0-c058a0c41bd0,56cef267-5d68-4d45-b99c-a256509bd0ea,104c25f7-3b53-47a1-a84c-063d9d8ae2c4,e02bdc10-1d98-4664-9c27-836de6957e23,b310b36e-73b8-4f1d-91cd-80a5f3ab5b24,3c15b3d1-13bb-4799-b8b5-5a6ae1abaac9,977962c2-5dfe-4d0d-92ed-4cfb23ae9edc,dba399b0-6e79-4da3-a4b7-78ba2a4fba92,b994ccc1-e90b-4020-a495-2724d51b6836,de4d22c1-1f65-454c-becf-608134cf2592,70c7367f-81a4-4816-a5bd-6afe5bc1af12,ef9b80bd-c14f-414c-ba4f-852aff1b70de,3d5b7cc8-f24f-4213-a23c-f25411035ad1,2ef736ad-e7e8-4922-af66-8eda74c7997b,cd2ed6d9-51c3-4d6f-8547-4ae16b130168,effe71fd-73c6-44f1-8ee1-76746b6854d7,50ca3e8b-d1ed-4714-9e8f-596e55c7c0d3,dcc24f52-51cd-4baa-9f15-d9b14c117e78,e0a39a27-868b-4ee2-9e9a-b49fc569e931,18ffeee5-d976-4d20-ba58-6c59b4ee54db,0585ca4b-eba5-47b8-97de-987c9a9d6b4f,50380041-b25a-411d-aada-83eaf722c037,222c010b-9fd4-495e-8b38-4f218086d7ba,92a0f186-27e5-4155-8258-2b743c4a6e7e,fb631c83-5925-4863-9313-f6a8854a467f,d7d84cb1-2fb4-42dc-84be-7e54f5d4eaa2,9a1aeddb-5eca-4c09-b889-fc156d137100,ecb346ac-33bf-43e7-828e-958af3398fe5,b6723b92-40de-47ec-b9d7-83fef46796f6,c7aaf858-b56e-46fc-b437-0e47b801eb5b,027b7fc7-a10d-4f26-ae08-e5319671dab8,938df60d-8792-421f-a590-d977196d5db3,ed09e51a-def5-4633-89b4-dafe2e8d502b,5585de83-e673-48c4-b2a2-ca810a54e33a,e0018500-7060-420d-9029-b87a0acffeb7,d949be07-b546-4f43-bd3c-ce1a46d97b43,cc90734b-cc25-4429-a718-8a9146b0e086,4c970018-7f3d-4d9f-b427-ff956eae4534,05fe2b95-394b-412b-b7cd-6b184c9d097f,767c5e92-eeeb-4dd1-9efb-4ece0ef7ebd7,6729fec7-ebdd-4b28-bd03-3971b0b57806,ea165b11-b9fb-4a18-a056-8eebb69871eb,01ec53dd-e262-4aa7-9d62-743e171bbd6b,5f4e1c65-fa32-420b-92bc-315ade8bd5d2,ba0347bd-5952-41c8-a8cd-abcd3dae578f,c7cebbc5-ba25-469a-8e55-a9a9827fca83,9581f09d-f354-4f52-aa7e-20ba5a825b17,611762f1-3bca-4a0a-ba0a-c9bffab51259,5544b709-7b27-407f-ab99-25bf271560e3,c758beb3-9ba3-477e-840c-8a22e237ce9b,755bbd29-5605-4ab2-a562-9586e6b6b146",163.719756145892
6,35.6833,139.7667,157,"abe0edcd-16c3-44f6-a8d6-b9be4ae0e0b7,10bf3a64-7869-48ec-8a23-6661f76607cf,6b638c2a-f97e-423a-b99f-37c75c472f30,c16b8d5f-631f-444e-81f5-2a7e367713af,934e616d-6c9b-4a01-be0e-e2724a289a8c,45cd2002-2ce7-49b1-818c-f1b75738ab91,b8551858-6b6f-4829-a736-1298a46cd702,f65085c1-45bb-40c7-9f1e-b43a782dbf2e,32123052-c361-47ed-ba33-d6fb80e6c125,38ef2113-b502-49f5-8fcc-deae332021a7",32.847569879210994
8,-36.8404,174.7399,17,b4a19692-8687-4cf4-a66f-dcda97a2e9ec,2.285057118775774
9,55.7517,37.6178,41,"a6fe77c0-33c0-491b-a99d-3b9177d2a82e,639b30f1-e026-43a7-a782-d517a0875d9f,0374228c-1a10-4e82-88ee-dc9b1fa1d492,bfe06040-308c-4e85-aade-80ff52d3cb30,2562b92b-f3dd-4502-afc3-b82d29f58e56,e859c6f8-745a-4d84-9ffc-fca1d331bcde,00e30f9e-77d1-4ffb-8270-9c3e09bd5286,af0e2685-f14b-4677-bc2e-1782881d5ab5,875ebaf5-e037-4afc-9933-39b47b85bec6,224451ea-e673-4c99-a7b0-036b198f7dea,8fe15045-184f-42ac-aaca-3731dde073d5,af73f7b1-1166-4b47-91e6-491998ab506c",165.66927914323404
10,59.32,18.09,377,"96a85e1e-ff2a-4889-b249-2d252d54c317,e9089b14-3aa2-4629-885e-554b6741d19a,66020679-72dc-4c9f-a903-c0a5ef8a7ffe,a71b269c-608a-427b-b441-623885bc8bdf,39eb9b31-993f-4267-9479-3539b51f1ebb,d82d912f-2b40-4819-aa6b-2945b1484aba,388a4635-bad3-4502-a2f3-9542a8104a07,9eaf07f4-980d-46b0-8658-2fee3bd2dfe4,6d9bfee0-3d4d-43c3-a978-7dd154a7026b,76715d84-30e2-4f2a-bd4e-c91d3e8d8df6,45b4dd3d-43a0-4d6b-8341-d31c5c7ddce4,eaa293e9-dea8-45f4-8d06-576d5100f09c,2189fcba-7f4c-4f2c-8dbd-9e22eb23e52f,fcfa55a6-7875-4f67-b081-45c74c720b17,f7657f60-c317-462c-bb1b-9fd62a9e7e2a,8ed7fd13-df10-4c77-9da7-fd5050645394,fe4b2733-83fe-4104-9633-56a53aa6d40d,82dbfda3-f311-407c-bb8b-532ea8da7568,b8abf52d-3da1-4d3f-a954-4b25c2015544,acb18979-2f7d-4b88-acea-821ecef7fed1,24280ce7-eabc-4423-b8dd-7c3f356b86f1,6be38277-46f6-432e-b64b-66c7e622cbe3,c0aad7c6-3c90-4ca9-9604-b3410baa012e,18dc6d17-55f5-4baf-87bb-f3ee318f5e7b,125db42d-5070-4043-bdb1-9a78928e1a51,24c5d50b-14e2-4016-a7ba-2156bd978cb5,6f4bc6dd-3168-43c6-b1b7-e7f86e9b13ce,5c237d16-a0c3-45a8-8b3c-dea91460074e,6e54f08f-d439-4657-b1bf-0a0f9b892cc0,15b411e3-591d-4875-afc4-004e1a5d79f4,eb5446d6-53f6-4d8a-a296-c857871ab968,fc282899-193f-48af-93dd-8504a8815120,b2d2278d-bc7e-4f96-976d-fc09669bc062,792a9e88-dfb6-4b3a-a780-eb0690c2612e,9adb9662-ea6e-4d2f-9a0f-d566332a817c,0996d44d-3b94-4b28-9acd-816eebe2be95,14631f0c-95be-4336-9e3f-5a6f919611e4,2b83bab5-6136-4157-a178-417d429c2f56,224dae42-58dc-4fd3-af93-58c890e2aed1,ccb52a26-f4f0-41f6-9f04-a011feb8d8a7",71.16558903767759
12,32.7828,-96.8039,105,"1662183e-8855-476b-b739-d5fc7428c3fd,b747021e-b125-492e-a346-41ee69c7ed7e,de29d922-2c03-4193-b298-e9d2ba2cbe51,f29fc2b9-05e9-41d9-a14c-36d35c4a9ad7,83cce9b3-7f88-4571-bbc5-38cb04652731,05f18716-e581-4dc1-ba94-adfdd01666e2,48ee2652-1c01-4119-8e11-ac1a72d78f8b,3b6c31c7-0d6a-47e5-af4f-7286f962bb6c,16a822cb-eb4a-42ba-aa8d-e113cf35abe8,d4cd0247-de0a-4245-8ec3-3565d1e3879f,608eccf0-9bb9-4bd0-9402-0eafd4b26a55,be332e7d-a725-46d9-b90a-0d989508e2de,ddbc7a0f-d5c7-498b-9aaa-b41733992881,941a69fc-b375-4b85-b08f-fca91bd9ffc7,dd9ae447-26c2-482b-90ca-13d35b3f993c,671f2b71-a896-4d6e-a4f1-da7d9df92819,5dca97a0-e9dd-4a6a-955e-d46a79dc1ce3,0bbdb51c-d95c-4d72-8ee6-fd6924a65786,1fd24515-072f-418c-9489-1c5cb2522e03,eae1e8c0-944b-45ed-a952-f2937ce94154,bab60669-0aa8-4443-8a50-e7b628748abe,36501f5e-a86c-4949-8b25-1ba7158de1fb,5f7f43b4-c8dc-4058-b490-488cff750d7e,2047bbd8-52d8-40d7-8609-ebfd83feba2d,f0f9a503-9301-46c3-b378-c6d34b73658f,c3940c94-c56d-44a9-b411-d0962d490b68",51.256437513170646
