file,stake_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
sui,0.5265722563954054,0.47556245640614686,0.4215700113419994,0.3690341408616402,0.3253244960391442,0.2988823995377574,0.4719165317763221,0.42049754218782753,0.372956821987044,0.33305351842986136,0.3069669091611975
ethernodes,0.7358936181934668,0.6669052817546477,0.5894768558218546,0.5071317949372054,0.42774199657431355,0.3532779906205237,0.6616800638970981,0.5923521031615491,0.5245954413593353,0.458256723497639,0.3940869440470739
solana,0.79100422813536,0.754873855251407,0.7114561846234857,0.6599396689306506,0.5999868541283185,0.5313416208760182,0.7173826614439572,0.6446948490131553,0.5728040151203533,0.5021676029978404,0.433629838894612
aptos,0.5439176886172937,0.5085292807583738,0.4689243868099664,0.4244507740283852,0.3745711315368689,0.3185575094960803,0.49213117096077286,0.4393157447838811,0.38520134718278315,0.3297805439986306,0.27348681469837915
ethereum,0.9408899289904262,0.9075131459195979,0.8545956321764099,0.7771720655579721,0.6758456535176898,0.5611343834166264,0.8571034444198438,0.7784387140848428,0.7018487119794935,0.6263583567795576,0.55156194414182
avalanche,0.8039442996071612,0.7796896669134967,0.7521878601922716,0.7216157116259162,0.6872226972167026,0.6469406287124794,0.7240445112021439,0.6477998594743676,0.5742543990574418,0.5040335417552664,0.4390973178509327
