file,stake_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
sui,0.5651566514968578,0.5557730169929284,0.5543620793860249,0.5503875872352807,0.5533786504775301,0.5648382890237711,0.5659364750959938,0.5540060671248617,0.5463120833624774,0.5452991368300236,0.552018316625538
ethereum nodes,0.806190989082743,0.7915318934410144,0.7792194343484892,0.7691456008577404,0.7618770519193467,0.7568835103077113,0.7957449694955254,0.7864615179102622,0.7780542788353007,0.7706446337203493,0.7641681097056428
solana,0.7746364111784936,0.7625682732205079,0.7494093216781005,0.7360846457784604,0.7223336526966637,0.709808910903362,0.7621644203154548,0.7517463434385648,0.7388370535156228,0.7270750451591949,0.7172386793663458
aptos,0.5114771096456388,0.5032553207639601,0.4972174267064435,0.4936512985385985,0.4928231241223979,0.4939756740087056,0.4991232007464302,0.4912180730643957,0.4871084023356717,0.48777343774491616,0.4913606097811143
ethereum,0.8788771136551178,0.8624917981840731,0.8434217617015282,0.822923507960456,0.8048046351857028,0.7935346390175202,0.8636639340444622,0.8491590488860327,0.8359390358679508,0.8235392755917886,0.8119226402720878
avalanche,0.7097028156886335,0.68764747456965,0.6670345751818231,0.6481306654208774,0.6328413506941503,0.6213516568911325,0.7005334567078084,0.691613969271317,0.6832650907630621,0.6755667057069658,0.6692510565469644
