file,stake_weight,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
sui,0.5265722563954055,0.42049754218782753,0.33305351842986125,0.2980314125404155,0.33558579528882043,0.42469218285044325
ethernodes,0.7358936181934671,0.5923521031615492,0.45825672349763896,0.3336439230292035,0.23587755908876268,0.1968604070886599
solana,0.7910042281353599,0.6446948490131552,0.5021676029978404,0.3693139896598862,0.2684577461493112,0.2491655655731383
aptos,0.5439176886172938,0.4393157447838813,0.3297805439986306,0.21853920285006592,0.1358432430401445,0.15922131858583458
ethereum,0.9408899289904262,0.7784387140848428,0.6263583567795576,0.47778582253633267,0.3429590944176517,0.32742734031033843
avalanche,0.8039442996071614,0.6477998594743675,0.5040335417552662,0.38162246659029253,0.3027652137570969,0.28998295103438865
