server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
2,43.6481,-79.4042,138407141605567,NodeID-HvxZoKdC58RkD4ZVTYwjVZ3TsiQoTESEP,6.493198548964954
4,48.8742,2.347,5285505295826324,"NodeID-4teb2JJaaGsiLTK4qHQTpGMfy7zZdU1AC,NodeID-36Vywf4J2tu9gA8xJCxZjwi2JABWSF7qo,NodeID-EvZXX2K2eVEV7n6Y8cnmeSRgj4JhkCVad",124.07813821020294
6,35.6833,139.7667,7017031957012271,"NodeID-FKGhEFYnHUdFadoR2ePvdTTM5Sz8tgjHp,NodeID-3KX9tgCEQcTHbC8W9yY4zY32Cj3ET9MNQ,NodeID-9mtTuxamXQyiePCNyheFEyjr4cAQo4Wbg",44.30071483237541
10,59.32,18.09,2155740604031700,NodeID-ELjBQTBvaEAMk7Qx7qJNJsEh2DYC4nxUn,1.6022318698329547
11,51.5171,-0.1062,3101360783003093,"NodeID-A8X5CqiZhsqSEGNUNqZifHqskMvSUJBG,NodeID-tHkVEqdhWPdX2vJGbqDWebw2VPrho4Aq,NodeID-3HvUXQy1siDNUBGWMYxwMfjufh8mxLtQY",17.02400265343546
15,25.765,-80.2,114922343896998,NodeID-FHGwnPLGdU3FBzbwnhayx1sDjxiiyb9sD,95.42875387803335
16,38.9694,-77.3864,30282622213038277,"NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,NodeID-3oaegcGaKyncpiWQCzEVd7vN1Vcsue3Wc,NodeID-HM1vYJWnjWhJkJi8dErcu4p5UDxwUKbp9,NodeID-JDYxVGLrUb8SHwuu5jZBXNC9rqYWd29PG",110.50694538823184
18,33.7489,-84.3881,103539530045367,NodeID-AcVHs6PgeipByAajqn3h7PHDk9cZXDZ2K,0.014452628196257516
19,53.3478,-6.2597,14583774770269434,NodeID-GR11oP3kLHf82Xbi3H2kewqoM7ydHF5ES,4.673933039525031
20,48.2088,16.3726,7747369880084,NodeID-AQT1i38PMJQxRqjpwrQ98QESW3EJzG3p7,12.720164908852146
23,37.3542,-121.9542,891058082613186,"NodeID-8TArWpFgH3sazEH8qP4gUjtGtFMvjw1aR,NodeID-56PBmfRBSmT2sYsPLiBPKVq2fQUVGEg9g,NodeID-A49YH2FmGteFpSV46b9WDxZWDEebAnH4q",5.496625874235276
24,47.6097,-122.3331,1621374770000401,NodeID-9NEeo3Ayq5qGodBbMZ1gdCQ4bmGH59BBo,0.3963368177760459
27,45.464,9.1916,3000000000000000,NodeID-3Kw1H4pXQpmik4wfkjeMxdhrUxAkdq753,0.16758636598627116
28,46.0556,14.5083,3586819305899,NodeID-DY2Tk5ZqUir1NpSiTwXVGdETCGGEV8wHe,82.84470401040349
29,50.1167,8.6833,14800779245172568,NodeID-NJaSwZPtuiN9TxaFLVF2sk3eNNHGm2UC9,4.133516846619377
31,1.3667,103.75,7848313892424805,"NodeID-Mss1z2VZYsNSa4LyqD99vXeNd8h3hUMDA,NodeID-7843EeyboY1mZSmdzjqdJodxHycNn7Kv2",26.461553079564446
32,52.23,21.0108,11990408989870,NodeID-6na5rkzi37wtt5piHV62y11XYfN2kTsTH,2.8343230822166507
35,47.369,8.538,152434197683868,"NodeID-33miCHPn9eN8H9Yi4bCzEaL9Sc5BLeKMg,NodeID-PqL7ZLMh4fFQNxKrKt9uWuZKa3UGsdcdQ,NodeID-FSqzWFLa9mvCV5WHBraVNUekg621YyMTE",20.790579826753337
37,34.0522,-118.2428,289187880685604,NodeID-6xjnXHhLrLDafewh5t69uRqtHea75RSGv,0.08309541353713554
42,-33.9767,18.4244,3439845493773986,NodeID-DAtCoXfLT6Y83dgJ7FmQg8eR53hz37J79,5.646994210759513
45,60.21,24.66,5043391254223500,NodeID-9YiwE69B2wcvXtEW986YcgQxGg9ctzmKZ,15.931593431075441
47,47.5,19.05,6669100000000,NodeID-BU3rNw3cZbX2Aw1CHwnupAh82jxgrtEmC,0.7448628823928463
52,45.5081,-73.555,7648023217242918,"NodeID-PY5kT7pHUEZPmh2QK5k6w3H6pKhFGUfq1,NodeID-N8tijV4qwWMep4STmLzWJEkqbg6bSdCmn,NodeID-E8CBDCxz5E7T2yVUeKEzR3VuJytqobJa9,NodeID-zbFM8qH7MnQ8uo6rm4tZaq6vhbF4cpgt",30.26464749866861
53,49.2505,-123.1119,8965079696538,NodeID-4WGNJ4vv6bH3FLCJgovqn3D7RCJ8rKBDR,0.5460520874238968
54,50.69,3.1817,926348993504029,"NodeID-4ETxBbffoA8cU54eMDVwQM5Ue6FEYu4s5,NodeID-BNErXKhvFS9jsYTmr8KkaX13FZdTST1t3,NodeID-2xWeMjBPrnJejBo1vFiyNZzy2FcquZnae",54.30178305959539
