latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
-43.5333,172.6333,0.0005553498704183636,5e7c5636-8e9b-4c95-96f7-d42f48680685,0.004018555256211601,New Zealand,0.0009016704089976872,0.0012479909475770108,0.0015943114861563348,0.0019406320247356585,0.002286952563314982,0.0006768882913144045,0.0008250254178926404,0.0010055823817652159,0.0012256542702641794,0.0014938889318842103
-43.3044,172.5836,0.00018511662347278786,68485f5d-ab93-4231-a68e-b90f5af9c418,0.004015522717605864,New Zealand,0.0005681572328860954,0.000951197842299403,0.0013342384517127108,0.0017172790611260185,0.002100319670539326,0.00025181122563256456,0.0003425348419014105,0.0004659447473863971,0.0006338172969845242,0.0008621716806770393
-42.8794,147.3294,0.00018511662347278786,d68b0c9f-b397-48df-81f6-a558920b0f15,0.003881848648727318,Australia,0.0005547898259982408,0.0009244630285236938,0.001294136231049147,0.0016638094335746,0.002033482636100053,0.0002509601342306852,0.00034022330243259737,0.00046123618746450883,0.0006252917395890065,0.0008476996606610181
-41.4388,147.1347,0.00018511662347278786,6724e6d6-0852-4cd9-badb-e65bd4037617,0.003826208475774671,Australia,0.0005492258087029761,0.0009133349939331644,0.001277444179163353,0.0016415533643935414,0.0020056625496237294,0.0002505980810535449,0.0003392423492261383,0.0004592428282955571,0.0006216911768887506,0.0008416025152875729
-41.2866,174.7756,0.0007404664938911515,ad653814-ddc7-456d-821c-4212bef521ef,0.00392102280702024,New Zealand,0.0010585221252040603,0.0013765777565169692,0.001694633387829878,0.002012689019142787,0.002330744650455696,0.0008747718663129203,0.0010334374673340425,0.001220881740734631,0.0014423245450006748,0.0017039325134469143
-38.1994,145.4908,0.00018511662347278786,87681097-00d2-498e-96bc-60e5a80d7701,0.003966044758174378,Australia,0.0005632094369429467,0.0009413022504131057,0.001319395063883265,0.001697487877353424,0.002075580690823583,0.0002514992181277952,0.00034168652999545617,0.0004642149015390234,0.000630681797183374,0.0008568435179046348
-37.814,144.9633,0.005923731951129212,bd6f6af3-dc41-40fc-8fdf-a4a2612534c2,0.004198705289502453,Australia,0.005751229284966536,0.005578726618803861,0.005406223952641184,0.005233721286478508,0.005061218620315833,0.005723311686475846,0.005529672330009264,0.005342584460238993,0.005161826417794154,0.004987184042804206
-36.8485,174.7635,0.0031469825990373935,b4a19692-8687-4cf4-a66f-dcda97a2e9ec,0.003850531890212036,New Zealand,0.0032173375281548578,0.0032876924572723216,0.003358047386389786,0.0034284023155072506,0.0034987572446247145,0.003211123285230189,0.0032765712642013256,0.0033433531807297977,0.0034114962226590635,0.0034810281319655892
-36.3805,145.3987,0.00018511662347278786,e3308565-def6-46bb-8cf0-e7d7b4a493ba,0.004097802062341171,Australia,0.000576385167359626,0.0009676537112464642,0.0013589222551333028,0.001750190799020141,0.0021414593429069794,0.00025232249815575946,0.0003439272058941926,0.00046878864872829584,0.0006389805557985149,0.0008709599769452233
-34.9287,138.5986,0.0009255831173639393,104bc79a-7b3c-44ef-970e-5a40b2ee409b,0.0036514054168214475,Australia,0.00119816534730969,0.0014707475772554408,0.0017433298072011918,0.0020159120371469426,0.0022884942670926933,0.001061744176386074,0.0012179356720553583,0.001397104250021854,0.0016026300322866383,0.0018383903852177777
